"PFCANA","PFCRACE","PFCGENDR","PFCAGE","PFCPOOL","PFCAMNT","PFCCMT"
"Et-PFOSA-AcOH",2,2,3,1,0.8,0
"Me-PFOSA-AcOH",2,2,3,1,5.2,0
"PFBuS",2,2,3,1,0.1,1
"PFDeA",2,2,3,1,0.1,1
"PFDoA",2,2,3,1,0.1,1
"PFHpA",2,2,3,1,0.5,0
"PFHxS",2,2,3,1,9.8,0
"PFNA",2,2,3,1,1,0
"PFOA",2,2,3,1,6.5,0
"PFOS",2,2,3,1,32.7,0
"PFOSA",2,2,3,1,0.4,0
"Et-PFOSA-AcOH",2,2,3,2,1.6,0
"Me-PFOSA-AcOH",2,2,3,2,5.1,0
"PFBuS",2,2,3,2,0.1,1
"PFDeA",2,2,3,2,0.1,1
"PFDoA",2,2,3,2,0.1,1
"PFHpA",2,2,3,2,0.7,0
"PFHxS",2,2,3,2,9.6,0
"PFNA",2,2,3,2,1.3,0
"PFOA",2,2,3,2,8.4,0
"PFOS",2,2,3,2,39.3,0
"PFOSA",2,2,3,2,0.6,0
"Et-PFOSA-AcOH",2,2,6,1,0.7,0
"Me-PFOSA-AcOH",2,2,6,1,2.7,0
"PFBuS",2,2,6,1,0.1,1
"PFDeA",2,2,6,1,0.1,1
"PFDoA",2,2,6,1,0.1,1
"PFHpA",2,2,6,1,0.6,0
"PFHxS",2,2,6,1,16.2,0
"PFNA",2,2,6,1,0.9,0
"PFOA",2,2,6,1,6.8,0
"PFOS",2,2,6,1,33.7,0
"PFOSA",2,2,6,1,0.4,0
"Et-PFOSA-AcOH",2,2,6,2,0.9,0
"Me-PFOSA-AcOH",2,2,6,2,2.6,0
"PFBuS",2,2,6,2,0.1,1
"PFDeA",2,2,6,2,0.2,0
"PFDoA",2,2,6,2,0.1,1
"PFHpA",2,2,6,2,0.3,1
"PFHxS",2,2,6,2,11,0
"PFNA",2,2,6,2,1.3,0
"PFOA",2,2,6,2,6.8,0
"PFOS",2,2,6,2,39.3,0
"PFOSA",2,2,6,2,0.5,0
"Et-PFOSA-AcOH",2,1,3,1,1.5,0
"Me-PFOSA-AcOH",2,1,3,1,4.6,0
"PFBuS",2,1,3,1,0.1,1
"PFDeA",2,1,3,1,0.1,1
"PFDoA",2,1,3,1,0.1,1
"PFHpA",2,1,3,1,0.6,0
"PFHxS",2,1,3,1,8.9,0
"PFNA",2,1,3,1,1.3,0
"PFOA",2,1,3,1,8,0
"PFOS",2,1,3,1,37,0
"PFOSA",2,1,3,1,0.5,0
"Et-PFOSA-AcOH",2,1,3,2,1.1,0
"Me-PFOSA-AcOH",2,1,3,2,6,0
"PFBuS",2,1,3,2,0.1,1
"PFDeA",2,1,3,2,0.1,1
"PFDoA",2,1,3,2,0.1,1
"PFHpA",2,1,3,2,0.8,0
"PFHxS",2,1,3,2,16,0
"PFNA",2,1,3,2,1.1,0
"PFOA",2,1,3,2,6.8,0
"PFOS",2,1,3,2,44.7,0
"PFOSA",2,1,3,2,0.4,0
"Et-PFOSA-AcOH",2,1,6,1,0.7,0
"Me-PFOSA-AcOH",2,1,6,1,3.6,0
"PFBuS",2,1,6,1,0.1,1
"PFDeA",2,1,6,1,0.2,0
"PFDoA",2,1,6,1,0.1,1
"PFHpA",2,1,6,1,0.6,0
"PFHxS",2,1,6,1,9.6,0
"PFNA",2,1,6,1,1,0
"PFOA",2,1,6,1,7.8,0
"PFOS",2,1,6,1,37.1,0
"PFOSA",2,1,6,1,0.5,0
"Et-PFOSA-AcOH",2,1,6,2,1.1,0
"Me-PFOSA-AcOH",2,1,6,2,3.3,0
"PFBuS",2,1,6,2,0.1,1
"PFDeA",2,1,6,2,0.2,0
"PFDoA",2,1,6,2,0.1,1
"PFHpA",2,1,6,2,0.5,0
"PFHxS",2,1,6,2,12.2,0
"PFNA",2,1,6,2,1.4,0
"PFOA",2,1,6,2,8.2,0
"PFOS",2,1,6,2,46.6,0
"PFOSA",2,1,6,2,0.7,0
"Et-PFOSA-AcOH",3,2,3,1,1.2,0
