"POOLID","RIAGENDR","RIDRAETN","RIDAGGRP","RIANSMP","SS028","SS044","SS049","SS052","SS066","SS074","SS087","SS099","SS101","SS110","SS128","SS138","SS146","SS149","SS151","SS153","SS170","SS172","SS177","SS178","SS180","SS183","SS187","SS194","SS195","SS196","SS199","SS206","SS209"
1,1,1,1,34,,,,,0.6,2.2,0.5,2.6,0.7,0.5,0.5,6.6,1.1,0.5,0.5,11.2,2.3,0.5,0.4,0.6,6.3,0.9,2.3,0.8,0.5,1.5,1.3,0.6,0.5
2,1,1,1,34,1.1,0.4,0.4,0.4,0.4,2.5,0.4,2.5,0.2,0.7,0.9,10.5,1.5,0.4,0.9,14.3,2.5,0.4,1,0.4,7.7,1.9,3.8,1.5,0.7,1.6,1.2,0.9,0.4
3,1,1,1,34,1.2,0.5,0.5,0.4,0.3,2.7,0.5,2,0.5,0.6,0.3,7.5,0.9,0.5,0.5,11,2.1,0.5,0.5,1,6.3,0.8,1.5,1.4,0.5,1.1,0.9,0.5,0.5
4,1,2,2,34,1.4,0.4,0.4,0.2,0.6,2.9,0.4,3.6,0.3,0.2,0.4,14.3,3.5,0.4,0.4,24.9,7.5,1.1,1.3,1.7,22,2.1,7.4,4.6,1.1,3.9,4.3,2.3,1.4
5,1,2,3,34,1.4,0.4,0.4,0.4,1.1,5.7,0.5,8.2,0.8,0.3,0.6,46.8,9.3,0.5,0.7,68.9,17.9,2.6,2.8,4.3,54.6,4.8,16.3,13.2,1.9,11,13.5,6.7,4.7
6,1,2,4,31,3.5,0.3,0.4,0.5,2.3,18.9,0.8,15.5,0.9,0.3,0.5,71.1,15.6,0.4,0.7,118.6,32.1,4.8,5.5,7.5,100.6,9,35.4,22.7,4.1,20.1,23.7,13.1,11.4
7,2,2,1,34,1.4,0.5,0.5,0.5,0.6,1.8,0.5,2.1,0.2,0.2,0.5,6.1,1,0.5,0.5,8.2,1.5,0.5,0.4,0.5,4.4,0.5,1.7,0.6,0.5,0.9,0.9,0.4,0.5
8,2,2,1,34,1.1,0.5,0.5,0.5,0.5,2.2,0.5,2.3,0.1,0.2,0.5,5.6,0.9,0.5,0.5,7.9,1.4,0.5,0.4,0.5,4.4,0.8,1.7,0.7,0.5,0.8,0.8,0.4,0.5
9,2,2,1,34,1.1,0.5,0.5,0.3,0.4,1.6,0.5,1.9,0.2,0.3,0.5,4.6,0.7,0.5,0.5,6,1,0.5,0.5,0.5,3.2,0.5,1.3,0.6,0.5,0.7,0.6,0.5,0.5
10,2,2,2,34,1.6,0.2,0.4,0.4,0.9,3.1,0.4,3.9,0.6,0.3,0.3,14.1,2.2,0.4,0.4,18.5,4.2,0.6,0.9,1,11.3,1.7,4.5,2.4,0.6,2.7,2.7,1.6,1
