"POOLID","RIAGENDR","RIDRAETN","RIDAGGRP","RIANSMP","SSHCB","SSBHC","SSGHC","SSOXY","SSTNA","SSPDE","SSODT","SSPDT","SSMIR"
1,1,1,1,34,19.9,4.5,0.4,12.1,10.1,128.9,0.7,3.3,0.8
2,1,1,1,34,8.8,5.1,0.6,0.4,4.4,132.6,0.4,6.6,1.3
3,1,1,1,34,8.9,2.7,0.8,4.9,6.4,112.6,0.5,4.2,1.3
4,1,2,2,34,8.3,5.3,0.6,9,13.7,215.5,0.6,3.8,16.9
5,1,2,3,34,12.1,16.6,0.9,20.3,33.9,570.4,1,9,62
6,1,2,4,31,17.1,29.9,1.2,38.6,73.1,1373,1.9,22.8,77.4
7,2,2,1,34,10.3,4.7,0.6,0.5,5.3,105.6,0.6,4.4,1.7
8,2,2,1,34,8,3.2,1.4,4.8,5.8,110.8,0.5,3.7,1.3
9,2,2,1,34,6.8,2.7,0.7,5,6.9,79,0.5,2.9,1.1
10,2,2,2,34,8.7,5.3,0.6,8,11.9,178.2,0.9,5.7,4
11,2,2,3,34,14.5,20.6,0.6,21.2,33.6,825.3,1,12.6,18.9
12,2,2,4,34,18.2,91.9,0.6,48.6,77,2158.8,2.7,49,54.5
13,1,3,1,34,12.1,16.3,0.8,5.1,7.5,556.3,0.7,11.6,0.8
14,1,3,1,34,18.8,10.3,0.8,4.5,7.2,1071.7,4.5,132.9,0.5
15,1,3,1,34,12.5,10.2,0.7,5,7.5,392.6,0.7,13.5,0.4
16,1,3,2,34,13.7,28.9,0.6,7.3,14.5,1136.9,2.3,37.7,1.3
17,1,3,2,33,15.2,26.5,0.6,6.7,10.9,1410,1.8,57.5,1
18,1,3,3,34,15.2,52.5,0.8,16.8,31.6,1754.9,2,83.9,3.9
19,1,1,2,34,10.9,6.3,0.6,9.9,10.5,119.3,0.4,3.1,12
20,1,1,2,34,9.7,5.5,0.6,7.6,8.4,165.6,0.7,4.5,3.4
21,1,1,2,34,9.8,5.4,0.6,9,13.2,128,0.4,5,4.6
22,1,3,4,34,19.9,0.3,0.6,0.3,0.3,1303.5,0.3,0.4,12.4
23,2,3,1,34,10.7,8.3,1.9,3.7,4.3,424.8,1.6,30.5,0.5
24,2,3,1,34,8,6.3,0.6,3.2,4.7,274.3,0.8,26.6,0.4
25,2,3,1,34,9.9,7,0.8,3.1,5.9,273.5,0.7,5.2,0.5
26,2,3,1,34,9.6,9.6,0.7,3.5,4.9,401.6,0.8,11.6,0.4
27,2,3,2,34,20.6,28.6,0.6,6.5,11.7,1161.1,2.7,101.6,1.3
28,2,3,2,34,15.8,37.5,0.6,9.2,12.3,1742.1,1.6,68.5,1.4
29,2,3,3,34,24.4,47,0.7,15.3,26.8,1653.2,1.3,39.3,1.6
30,2,3,4,34,34,87.4,0.6,31.2,49,2398.9,1.1,31.9,3.3
31,1,1,3,34,13.3,12.3,0.5,29.7,51.6,347.5,0.5,4.5,18.9
32,1,1,3,34,11.2,12.8,0.5,19,34.8,360.8,0.7,8.5,75.6
33,1,1,3,34,12.4,15.1,0.5,16,25.7,343.8,0.7,5.5,11.1
34,1,1,4,34,16.3,0.4,0.6,0.4,1.3,691.7,0.4,0.4,22
35,1,1,4,34,18,44.4,0.5,31.7,40.7,745.8,0.7,10.2,12.3
36,1,1,4,34,15.7,39.2,0.6,40.8,74.4,1038.5,1.2,11.6,31.6
37,1,1,4,34,14.1,22.5,0.6,32.8,44.5,553.6,0.4,6.1,18
38,2,1,1,34,6.9,3.9,0.7,4.3,4.2,91.2,0.7,3,0.7
39,2,1,1,34,9,8.3,0.7,4.4,7,95.7,0.8,3.9,0.8
40,2,1,1,34,8.4,3.3,0.7,4.4,4.5,89,0.4,0.4,0.5
41,2,1,2,34,8.9,5.4,0.5,9.1,11.1,132.2,1,3.3,5.7
42,2,1,2,34,10.2,6.4,1.4,8.5,12.9,169.7,0.4,3.9,64.9
43,2,1,2,34,11.2,6.2,0.5,9.9,11.5,127.1,0.6,3.4,13.8
44,2,1,2,34,9.6,8.7,0.6,10.3,17.2,161.9,0.4,3.8,7.8
45,2,1,3,34,14.2,18.9,0.5,15.1,20.2,398.7,0.5,7.1,14.8
46,2,1,3,34,12.4,14.2,0.4,14.6,18.8,273.9,0.6,5.5,8.2
47,2,1,3,34,17.1,19.3,0.5,24.5,24.6,456.6,0.5,6.1,7.5
48,2,1,4,34,20.7,70.6,0.5,40.2,51,627.7,0.6,8.5,80.7
49,2,1,4,34,24,113,0.5,42.3,54.7,984.3,0.9,14.8,20.2
50,2,1,4,34,22.6,186.1,0.4,32.3,41,850.4,0.9,14.1,4.3
51,2,1,4,34,21.2,48.9,0.5,40.8,60.4,790.4,0.7,8.1,17.7
52,1,2,1,34,10.8,0.5,0.6,0.5,0.5,123.4,0.5,0.5,2
53,1,2,1,34,12.6,6.1,1.2,4.6,8.2,162,1.1,5.4,3.4
54,1,2,1,34,9.5,3.8,0.6,6,7.4,151.9,0.8,3.9,1.8
55,2,2,0,57,7.1,1.9,1.9,1.9,3.8,84.3,1.9,3.4,1.9
56,2,2,0,57,6.5,4.2,1.8,3.3,4.5,90.8,1.8,3.4,1.8
57,2,2,-1,21,8.6,2.1,2.1,3.9,6,104,2.1,2.1,2.1
58,2,2,-1,21,9.2,1.9,1.9,5.9,9,91.5,1.9,4.5,1.9
59,1,2,0,57,7.7,2,2,4.4,7.1,112,2,2.8,2
60,1,2,0,57,13.1,6,1.8,5.6,7.6,151,1.8,8.5,1.8
61,1,2,-1,21,12.6,2,2,4.9,5.9,107,2,3.8,2
62,1,2,-1,21,8.3,2.1,2.1,4.8,7.1,89.9,2.1,3.5,2.1
63,2,3,0,57,9.8,9.8,13.8,4.1,6.1,330,1.8,4.8,1.8
64,2,3,0,57,8.9,9.2,2.9,4,6.3,435,1.8,9.3,1.8
65,2,3,-1,21,23.1,27,1.9,6.6,7.8,1400,1.9,22.4,1.9
66,2,3,-1,21,13.2,7.6,1.8,1.8,7.2,324,1.8,2.6,1.8
67,1,3,0,57,11.5,13.7,1.9,3.6,7.5,446,1.9,18.8,1.9
68,1,3,0,57,10.1,11.3,1.9,4.1,6.8,732,1.9,15.1,1.9
69,1,3,-1,21,16.3,14.4,1.9,4.2,6.8,2120,1.9,144,1.9
70,1,3,-1,21,16.2,24.5,1.8,7.7,13.4,1100,1.8,17.3,1.8
71,2,1,0,57,7.9,3,1.8,5,6.7,104,1.8,2.9,1.8
72,2,1,0,57,9.7,4.7,2.9,3.4,5.2,103,1.8,1.8,1.8
73,2,1,-1,21,12.4,2.9,1.9,9.4,12.1,128,1.9,3.4,7.5
74,2,1,-1,21,10.9,3.1,1.9,4.6,7.1,132,1.9,3.2,1.9
75,1,1,0,57,9.5,3.4,1.8,5.9,7.4,125,1.8,3.7,1.8
76,1,1,0,57,8.1,9.1,1.8,4.1,5.8,104,1.8,3.5,1.8
77,1,1,-1,21,10.7,1.8,1.8,7.2,7.6,108,1.8,6,1.8
78,1,1,-1,21,12.8,2.7,1.8,6.5,5,127,1.8,1.8,1.8
