"SEQN","ACD010A","ACD010B","ACD010C","ACQ020","ACQ030","ACD040","ACQ050","ACQ060","ACD070","ACD080"
2,1,,,,,,,,,
5,1,,,,,,,,,
6,1,,,,,,,,,
7,1,,,,,,,,,
8,1,,,,,,,,,
10,1,,,,,,,,,
11,1,,,,,,,,,
12,1,,,,,,,,,
13,,,,4,4,4,4,4,5,4
14,1,,,,,,,,,
15,1,,,,,,,,,
16,1,,,,,,,,,
20,,,,5,5,5,5,5,1,4
21,,,,3,3,3,3,3,4,1
22,1,,,,,,,,,
23,1,,,,,,,,,
24,1,,,,,,,,,
25,1,,,,,,,,,
26,,,,3,3,3,3,3,4,4
27,,,,3,1,3,3,4,4,4
28,1,,,,,,,,,
29,1,,,,,,,,,
31,,,,5,5,5,5,5,1,1
33,,,,2,1,2,1,2,4,4
34,1,,,,,,,,,
40,,,,1,1,1,1,1,4,4
42,1,,,,,,,,,
44,1,,,,,,,,,
45,,,,4,4,4,4,5,1,1
46,1,,,,,,,,,
47,,,,5,5,5,5,5,1,1
49,,,,4,5,5,5,5,1,1
52,1,,,,,,,,,
53,,,,4,2,3,2,4,1,4
55,,,,2,1,3,2,2,6,6
56,,,3,,,,,,,
57,1,,,,,,,,,
58,,,,3,1,1,3,4,4,4
59,,,,5,3,5,5,4,4,1
62,,,3,,,,,,,
64,1,,,,,,,,,
66,,,,4,4,4,4,4,4,4
67,,,,5,5,5,5,5,1,1
68,,,,4,4,4,9,4,1,4
69,1,,,,,,,,,
71,,,,4,4,4,4,4,1,1
72,1,,,,,,,,,
74,,,,3,1,3,3,4,4,4
76,,,,2,1,2,3,3,4,4
77,1,,,,,,,,,
80,1,,,,,,,,,
81,1,,,,,,,,,
83,1,,,,,,,,,
84,1,,,,,,,,,
85,,,,3,2,3,3,4,4,4
86,1,,,,,,,,,
87,,,,4,1,1,3,4,4,4
88,,,,3,2,1,4,4,4,4
90,1,,,,,,,,,
91,1,,,,,,,,,
92,1,,,,,,,,,
93,1,,,,,,,,,
94,1,,,,,,,,,
95,,,,1,1,1,1,1,4,4
96,1,,,,,,,,,
97,1,,,,,,,,,
98,1,,,,,,,,,
100,1,,,,,,,,,
101,,,,4,3,5,5,4,4,4
102,,,3,,,,,,,
105,1,,,,,,,,,
106,,,,1,1,1,1,1,4,4
107,,,,1,1,1,1,1,4,4
108,1,,,,,,,,,
110,,,,3,3,3,3,3,4,4
111,,,,3,1,3,4,5,4,1
112,,,,5,5,5,5,5,1,1
113,1,,,,,,,,,
114,1,,,,,,,,,
115,1,,,,,,,,,
117,1,,,,,,,,,
118,1,,,,,,,,,
120,1,,,,,,,,,
121,,,,2,1,4,1,1,4,4
122,1,,,,,,,,,
123,1,,,,,,,,,
124,,,,5,5,5,5,5,1,1
125,,,,5,5,5,5,5,4,1
126,,,,1,1,1,1,1,4,4
127,1,,,,,,,,,
129,1,,,,,,,,,
130,1,,,,,,,,,
131,1,,,,,,,,,
132,1,,,,,,,,,
134,1,,,,,,,,,
136,,,,3,2,1,4,2,1,1
137,1,,,,,,,,,
138,,,,4,5,5,5,5,1,1
139,1,,,,,,,,,
140,1,,,,,,,,,
141,,,,5,5,5,5,5,2,2
142,1,,,,,,,,,
143,,,,1,1,1,1,1,4,4
144,,,3,,,,,,,
145,1,,,,,,,,,
146,,,,4,4,3,5,5,2,4
147,,,,2,1,1,1,1,4,4
148,,,3,,,,,,,
149,,,,3,1,2,4,1,5,5
150,1,,,,,,,,,
151,1,,,,,,,,,
153,1,,,,,,,,,
156,1,,,,,,,,,
158,,,,1,1,1,1,1,4,4
160,1,,,,,,,,,
161,,,,3,3,2,3,4,4,4
162,,,,4,2,4,3,3,1,1
163,,,,2,1,1,3,3,4,4
164,1,,,,,,,,,
166,,,,4,4,5,5,5,1,1
167,,,,3,1,1,4,5,5,5
168,1,,,,,,,,,
169,,,,1,1,1,1,1,4,4
170,,,,4,4,5,5,5,1,1
171,1,,,,,,,,,
172,1,,,,,,,,,
173,1,,,,,,,,,
175,,,,4,4,4,5,2,4,1
177,1,,,,,,,,,
178,1,,,,,,,,,
179,1,,,,,,,,,
181,1,,,,,,,,,
183,,,,3,1,1,1,3,5,5
184,1,,,,,,,,,
186,1,,,,,,,,,
187,1,,,,,,,,,
188,1,,,,,,,,,
189,1,,,,,,,,,
190,1,,,,,,,,,
191,,,,1,1,1,1,1,1,4
192,1,,,,,,,,,
193,1,,,,,,,,,
194,,,,1,1,1,1,1,4,4
195,1,,,,,,,,,
196,,,,5,5,5,5,5,1,1
197,,,,1,1,1,1,1,3,3
198,,,,1,1,1,1,1,6,6
199,1,,,,,,,,,
201,1,,3,,,,,,,
205,1,,,,,,,,,
206,1,,,,,,,,,
209,1,,,,,,,,,
211,1,,,,,,,,,
213,,,,3,3,1,3,5,4,4
215,,,,1,1,1,1,1,4,4
216,1,,,,,,,,,
217,,,,4,4,4,4,5,1,1
219,1,,,,,,,,,
220,1,,,,,,,,,
221,1,,,,,,,,,
223,1,,,,,,,,,
225,1,,,,,,,,,
227,,,,4,4,4,4,4,1,1
228,1,,,,,,,,,
229,,,,3,1,1,3,4,4,4
231,,,,2,1,1,4,4,5,5
232,,,,1,1,1,1,1,4,4
233,,,,1,1,1,1,1,4,4
234,,,,1,1,1,1,1,4,4
236,,,,2,1,1,1,1,4,4
237,1,,,,,,,,,
239,1,,,,,,,,,
242,,,,2,1,2,2,2,4,4
243,1,,,,,,,,,
244,,,,5,5,5,5,5,1,1
245,,,,4,1,2,3,4,4,4
248,,,3,,,,,,,
249,,,,2,2,2,1,2,4,4
250,1,,,,,,,,,
254,,,,2,1,3,2,3,4,4
255,,,,5,5,5,5,5,1,1
256,,,,1,1,1,1,1,4,4
257,1,,,,,,,,,
259,1,,,,,,,,,
260,,,,2,1,1,1,2,4,4
261,,,,1,1,1,1,1,4,4
263,,,,4,4,4,4,4,1,1
264,,,,1,1,1,1,1,4,4
265,1,,,,,,,,,
266,1,,,,,,,,,
267,1,,,,,,,,,
268,,,,2,1,1,1,1,4,4
269,1,,,,,,,,,
270,1,,,,,,,,,
272,1,,,,,,,,,
273,,,,1,1,1,1,1,3,3
274,1,,,,,,,,,
275,1,,,,,,,,,
276,,,,2,1,3,3,4,4,4
277,,,,5,5,5,5,5,1,1
279,1,,3,,,,,,,
280,1,,,,,,,,,
281,,,,5,5,5,5,5,1,1
282,,,,1,1,1,1,1,5,5
283,,,,4,5,5,5,3,1,1
284,,,,3,2,1,3,3,5,5
285,1,,,,,,,,,
287,1,,,,,,,,,
289,1,,,,,,,,,
291,1,,,,,,,,,
293,1,,,,,,,,,
294,,,,4,1,3,4,3,4,4
295,,,,3,3,2,4,5,4,4
296,1,,,,,,,,,
297,1,,,,,,,,,
300,1,,,,,,,,,
301,,,,1,1,1,1,1,4,4
302,,,,3,2,3,2,2,1,1
303,,,,4,2,4,4,4,1,2
304,,,,5,5,5,5,5,1,1
306,,,,3,3,2,3,3,4,4
307,1,,,,,,,,,
310,,,,3,3,3,3,3,1,4
312,1,,,,,,,,,
314,1,,,,,,,,,
315,1,,,,,,,,,
316,,,,1,1,1,1,1,4,4
320,,,,3,2,4,2,3,1,1
321,1,,,,,,,,,
323,1,,,,,,,,,
324,1,,,,,,,,,
327,1,,,,,,,,,
328,1,,,,,,,,,
329,,,,3,1,4,3,3,5,6
330,1,,,,,,,,,
331,,,3,,,,,,,
332,,,,1,1,1,1,1,4,4
333,,,,3,3,4,5,4,4,1
334,1,,,,,,,,,
335,1,,,,,,,,,
336,1,,,,,,,,,
337,1,,,,,,,,,
338,,,,2,1,1,1,1,4,4
339,,,,2,1,3,3,3,4,4
340,1,,,,,,,,,
341,1,,,,,,,,,
343,,,,4,5,5,3,4,1,1
344,1,,,,,,,,,
346,1,,,,,,,,,
348,1,,,,,,,,,
349,1,,,,,,,,,
350,1,,,,,,,,,
351,,,,3,3,3,3,2,2,2
352,1,,,,,,,,,
358,1,,,,,,,,,
359,1,,,,,,,,,
360,1,,3,,,,,,,
361,1,,3,,,,,,,
362,1,,,,,,,,,
365,,,,2,1,2,3,1,4,4
367,,,,3,1,2,1,4,1,4
368,,,3,,,,,,,
372,1,,,,,,,,,
374,1,,,,,,,,,
380,,,,3,1,3,3,3,1,4
381,1,,,,,,,,,
382,,,,1,1,1,1,1,2,2
383,1,,,,,,,,,
386,1,,,,,,,,,
388,,,,3,3,3,3,3,2,2
389,1,,,,,,,,,
390,,,,3,1,3,9,2,4,4
392,,,,1,1,1,1,1,4,4
393,,,,2,1,1,2,2,4,4
396,,,,4,4,5,5,5,4,1
397,1,,,,,,,,,
398,,,,5,5,5,5,5,4,1
399,1,,,,,,,,,
400,1,,,,,,,,,
401,,,3,,,,,,,
402,,,,1,1,1,1,1,5,3
403,1,,,,,,,,,
405,,,,3,1,1,9,4,4,4
406,1,,,,,,,,,
407,1,,,,,,,,,
408,1,,,,,,,,,
409,,,,2,1,2,2,2,4,4
410,,,,5,5,5,5,5,1,4
411,1,,,,,,,,,
412,1,,,,,,,,,
414,1,,3,,,,,,,
416,1,,,,,,,,,
417,,,,3,2,3,3,3,1,4
419,1,,,,,,,,,
421,1,,,,,,,,,
423,,,,5,1,3,5,5,4,4
424,,,,1,1,1,1,1,3,3
426,1,,,,,,,,,
427,,,,2,1,2,2,3,4,4
429,,,,3,3,3,3,3,3,6
430,1,,,,,,,,,
431,1,,,,,,,,,
432,,,,3,2,4,3,3,4,4
433,1,,,,,,,,,
434,1,,,,,,,,,
436,1,,,,,,,,,
437,1,,,,,,,,,
438,,,,4,3,4,5,5,5,5
439,1,,,,,,,,,
442,,,,2,1,1,2,3,4,1
443,,,,1,1,1,1,1,4,4
446,,,,2,1,1,1,1,5,5
447,1,,,,,,,,,
451,,,,1,1,1,1,1,6,6
452,1,,,,,,,,,
453,1,,,,,,,,,
457,1,,,,,,,,,
458,1,,,,,,,,,
459,1,,,,,,,,,
460,1,,,,,,,,,
461,1,,,,,,,,,
463,,,,1,1,1,1,1,4,4
465,,,,2,2,5,5,5,4,1
466,1,,,,,,,,,
468,1,,,,,,,,,
469,1,,,,,,,,,
470,1,,,,,,,,,
472,1,,,,,,,,,
473,,,,5,5,5,5,5,1,1
474,1,,,,,,,,,
475,1,,,,,,,,,
477,,,,1,1,1,1,1,6,6
478,1,,,,,,,,,
479,1,,,,,,,,,
481,,,,2,1,3,3,2,4,1
484,1,,,,,,,,,
486,1,,,,,,,,,
487,1,,,,,,,,,
488,1,,,,,,,,,
489,1,,,,,,,,,
490,1,,,,,,,,,
492,1,,,,,,,,,
493,1,,,,,,,,,
494,,,,5,5,5,5,5,1,1
496,,,,5,5,5,5,5,1,1
497,1,,,,,,,,,
499,,,,2,1,1,1,1,4,4
502,1,,,,,,,,,
504,1,,,,,,,,,
505,1,,,,,,,,,
506,1,,,,,,,,,
507,1,,,,,,,,,
508,1,,,,,,,,,
509,1,,,,,,,,,
510,,,,3,2,2,3,4,3,3
511,,,,4,3,5,5,5,1,1
512,1,,,,,,,,,
514,1,,,,,,,,,
515,,,,3,3,3,3,5,4,1
517,,,,4,3,4,5,3,4,1
518,1,,,,,,,,,
521,,,,3,1,3,4,3,4,4
522,1,,,,,,,,,
523,,,,5,5,5,5,5,1,1
524,1,,,,,,,,,
526,,,,1,1,1,1,2,4,4
527,1,,,,,,,,,
528,1,,,,,,,,,
529,1,,,,,,,,,
531,1,,,,,,,,,
532,1,,,,,,,,,
535,,,,4,1,4,4,4,1,4
536,,,,5,5,5,5,5,1,1
537,1,,,,,,,,,
539,1,,,,,,,,,
540,1,,,,,,,,,
541,,,,1,1,1,1,1,4,4
542,,,,1,1,1,1,1,4,4
543,1,,,,,,,,,
544,1,,,,,,,,,
546,,,,4,2,2,4,4,4,4
547,,,,4,2,2,5,4,4,4
548,1,,,,,,,,,
549,,,,2,2,1,2,2,4,4
550,1,,,,,,,,,
551,1,,,,,,,,,
552,1,,,,,,,,,
553,1,,,,,,,,,
554,,,,5,5,5,5,5,4,4
557,1,,,,,,,,,
558,1,,,,,,,,,
559,,,,5,9,9,5,9,5,5
560,1,,,,,,,,,
561,1,,,,,,,,,
562,,,,3,1,1,3,3,5,5
563,,,,2,1,3,2,1,4,4
564,1,,,,,,,,,
566,1,,,,,,,,,
568,1,,,,,,,,,
569,,,,4,4,4,5,5,1,4
570,1,,,,,,,,,
572,,,3,,,,,,,
576,,,,1,1,1,1,1,4,4
577,1,,,,,,,,,
578,1,,,,,,,,,
581,1,,,,,,,,,
582,1,,,,,,,,,
583,1,,,,,,,,,
584,1,,,,,,,,,
585,1,,,,,,,,,
586,1,,,,,,,,,
587,,,,4,5,5,5,5,1,1
588,,,3,,,,,,,
589,1,,,,,,,,,
590,1,,,,,,,,,
591,,,,5,5,5,5,4,1,1
592,1,,,,,,,,,
593,1,,,,,,,,,
594,1,,,,,,,,,
595,1,,,,,,,,,
596,,,3,,,,,,,
598,1,,,,,,,,,
599,1,,,,,,,,,
600,1,,,,,,,,,
601,,,,4,1,4,5,5,6,6
602,,,,2,1,1,1,1,4,4
604,1,,,,,,,,,
605,1,,,,,,,,,
607,1,,,,,,,,,
608,,,,4,4,5,5,5,1,4
610,1,,,,,,,,,
611,1,,,,,,,,,
613,,,3,,,,,,,
614,1,,,,,,,,,
615,1,,,,,,,,,
616,1,,,,,,,,,
617,,,,5,5,5,5,5,1,1
618,1,,,,,,,,,
620,1,,,,,,,,,
622,1,,,,,,,,,
626,1,,,,,,,,,
627,,,,1,1,1,1,1,4,4
628,,,3,,,,,,,
631,,,,4,1,1,1,5,4,4
633,1,,,,,,,,,
635,1,,,,,,,,,
636,1,,,,,,,,,
638,,,,4,4,4,9,4,4,1
639,1,,,,,,,,,
640,,,,1,1,1,1,1,4,4
641,,,,3,1,1,3,3,4,4
642,1,,,,,,,,,
643,1,,,,,,,,,
644,1,,,,,,,,,
645,1,,,,,,,,,
646,,,,5,5,5,5,5,1,1
647,1,,,,,,,,,
648,1,,,,,,,,,
649,,,,1,1,1,1,1,4,4
651,1,,,,,,,,,
652,,,,1,1,1,1,1,5,5
653,1,,,,,,,,,
654,,,,3,1,2,1,2,1,1
655,1,,,,,,,,,
657,1,,,,,,,,,
658,,,,3,1,1,1,3,2,2
660,1,,,,,,,,,
661,,,,3,1,3,3,3,4,1
662,1,,,,,,,,,
665,1,,,,,,,,,
666,,,,4,3,4,4,4,4,4
667,,,,2,1,2,1,3,4,4
668,1,,,,,,,,,
669,,,,1,1,1,1,1,4,4
671,1,,,,,,,,,
672,1,,,,,,,,,
673,1,,,,,,,,,
674,1,,,,,,,,,
675,1,,,,,,,,,
676,1,,,,,,,,,
677,,,,1,1,1,1,1,3,3
678,1,,,,,,,,,
679,1,,,,,,,,,
681,,,,3,1,3,3,3,4,1
682,1,,,,,,,,,
683,1,,,,,,,,,
684,1,,,,,,,,,
685,1,,,,,,,,,
686,1,,,,,,,,,
688,,,3,,,,,,,
689,1,,,,,,,,,
690,,,,4,3,4,5,5,4,1
692,1,,,,,,,,,
695,,,,4,5,4,5,4,1,1
696,,,,4,1,1,9,4,4,4
697,1,,,,,,,,,
698,,,,5,5,5,5,5,1,1
699,1,,,,,,,,,
701,1,,,,,,,,,
703,,,,1,1,1,1,1,3,3
705,1,,,,,,,,,
706,,,,3,1,1,3,2,4,4
707,1,,,,,,,,,
708,,,,1,1,1,1,1,4,4
710,,,,5,5,5,5,5,1,1
711,,,,3,3,3,3,5,1,1
712,1,,,,,,,,,
713,1,,,,,,,,,
714,1,,,,,,,,,
715,,,,4,3,3,5,5,4,1
716,,,,1,1,1,1,1,4,4
717,,,,2,1,3,1,1,4,4
719,,,,1,1,1,1,1,4,4
720,1,,,,,,,,,
722,1,,,,,,,,,
723,1,,,,,,,,,
725,1,,,,,,,,,
727,,,,4,2,4,5,5,4,4
728,1,,,,,,,,,
729,1,,,,,,,,,
731,,,,1,1,1,1,1,4,4
732,,,,3,1,3,3,5,4,4
733,,,,5,5,5,5,5,1,1
734,,,,1,1,1,1,1,4,4
736,1,,,,,,,,,
737,1,,,,,,,,,
738,1,,,,,,,,,
740,1,,,,,,,,,
741,1,,,,,,,,,
742,1,,,,,,,,,
744,1,,,,,,,,,
746,,,,3,1,3,5,3,6,6
747,,,,3,1,1,3,4,6,6
749,1,,3,,,,,,,
751,1,,,,,,,,,
752,1,,,,,,,,,
753,,,,2,1,1,2,3,4,4
754,1,,,,,,,,,
757,1,,,,,,,,,
761,1,,,,,,,,,
764,1,,,,,,,,,
765,,,,2,1,1,1,1,4,4
766,1,,,,,,,,,
768,1,,,,,,,,,
770,,,,2,1,1,2,2,4,4
773,1,,,,,,,,,
774,1,,,,,,,,,
776,1,,,,,,,,,
777,,,,5,5,5,5,5,1,1
778,1,,,,,,,,,
779,1,,,,,,,,,
780,,,,4,5,5,5,5,4,1
781,1,,,,,,,,,
782,,,,1,1,1,1,1,4,4
783,,,3,,,,,,,
784,,,,2,1,1,2,1,4,4
785,1,,,,,,,,,
787,1,,,,,,,,,
788,1,,,,,,,,,
789,1,,,,,,,,,
790,,,,3,3,3,5,3,2,2
791,1,,,,,,,,,
792,1,,,,,,,,,
793,1,,,,,,,,,
794,,,,3,1,3,3,5,4,4
795,,,,3,3,3,3,4,5,5
798,,,,1,1,1,1,1,4,4
799,,,,1,1,1,1,1,99,99
800,1,,,,,,,,,
803,,,,5,5,5,3,3,1,1
804,,,,2,1,1,2,3,6,5
805,,,,4,4,2,5,3,4,4
807,1,,,,,,,,,
809,1,,,,,,,,,
811,,,,3,1,2,1,3,4,4
812,1,,,,,,,,,
813,,,,1,1,1,1,1,4,4
814,1,,,,,,,,,
815,,,,1,1,1,1,1,4,4
816,,,,2,1,1,1,1,4,4
817,1,,,,,,,,,
818,,,,3,3,2,3,5,4,4
819,1,,,,,,,,,
821,1,,,,,,,,,
822,1,,,,,,,,,
823,1,,,,,,,,,
824,1,,,,,,,,,
825,,,,1,1,1,1,1,4,4
826,,,,3,1,2,1,2,4,1
828,1,,,,,,,,,
831,1,,,,,,,,,
832,,,,3,1,1,3,4,4,4
833,,,,4,5,5,5,5,1,1
835,,,,1,1,1,1,1,4,4
836,1,,,,,,,,,
838,1,,,,,,,,,
839,,,,3,2,3,5,5,4,4
840,1,,,,,,,,,
841,,,3,,,,,,,
843,,,,3,1,3,3,3,4,4
844,,,,1,1,1,1,1,5,4
845,1,,,,,,,,,
847,,,,1,1,1,1,1,4,4
848,1,,,,,,,,,
849,1,,,,,,,,,
850,1,,,,,,,,,
852,1,,,,,,,,,
853,,,,5,5,5,5,5,1,1
854,,,,5,5,5,5,5,1,1
855,,,,4,1,4,3,5,4,4
856,1,,,,,,,,,
857,,,,4,4,5,5,5,4,1
858,1,,,,,,,,,
861,1,,,,,,,,,
862,,,,4,1,4,9,2,4,4
863,,,,5,5,5,5,5,1,1
864,1,,,,,,,,,
865,,,,1,1,1,1,1,4,4
866,1,,,,,,,,,
867,,,3,,,,,,,
868,1,,,,,,,,,
870,1,,,,,,,,,
871,,,,2,1,1,2,3,2,2
872,1,,,,,,,,,
875,,,,2,1,2,2,2,4,4
876,,,,1,1,1,1,1,4,4
878,1,,,,,,,,,
879,1,,3,,,,,,,
880,1,,,,,,,,,
881,1,,,,,,,,,
882,1,,,,,,,,,
883,1,,,,,,,,,
884,1,,,,,,,,,
885,1,,,,,,,,,
886,1,,,,,,,,,
887,,,,2,1,2,1,3,4,4
889,1,,,,,,,,,
892,,,,2,1,4,1,3,5,5
895,1,,,,,,,,,
896,,,,1,1,1,1,1,4,4
897,,,,2,2,2,2,2,1,1
898,1,,,,,,,,,
901,1,,,,,,,,,
902,,,,4,2,5,4,4,1,1
903,,,,4,3,5,5,5,1,1
904,,,3,,,,,,,
905,1,,,,,,,,,
906,1,,,,,,,,,
907,1,,,,,,,,,
908,1,,,,,,,,,
909,1,,,,,,,,,
910,,,,2,1,2,2,2,4,4
911,1,,,,,,,,,
913,1,,,,,,,,,
914,1,,,,,,,,,
915,,,,4,4,4,4,4,1,1
917,,,,3,3,3,4,4,4,4
919,1,,,,,,,,,
920,,,,3,1,1,2,2,6,6
921,1,,,,,,,,,
924,,,,3,1,4,5,3,4,1
925,1,,,,,,,,,
928,1,,,,,,,,,
929,1,,,,,,,,,
930,1,,,,,,,,,
931,1,,,,,,,,,
932,1,,,,,,,,,
933,1,,,,,,,,,
936,1,,,,,,,,,
937,,,,3,3,3,3,3,4,4
939,1,,,,,,,,,
941,1,,,,,,,,,
942,,,,1,1,1,1,1,4,4
943,1,,,,,,,,,
944,,,,4,3,4,5,3,4,1
948,1,,,,,,,,,
949,1,,,,,,,,,
