"SEQN","ACD010A","ACD010B","ACD010C","ACQ020","ACQ030","ACD040","ACQ050","ACQ060","ACD070","ACD080"
9966,1,,,,,,,,,
9967,1,,,,,,,,,
9968,1,,,,,,,,,
9969,1,,,,,,,,,
9970,,,,4,5,4,5,5,1,1
9971,,,,4,4,4,5,5,2,2
9972,1,,,,,,,,,
9973,,,,5,3,5,5,5,1,1
9974,1,,,,,,,,,
9975,1,,,,,,,,,
9976,1,,,,,,,,,
9978,1,,,,,,,,,
9979,,,3,,,,,,,
9980,1,,,,,,,,,
9981,,,,2,1,1,1,1,5,5
9982,1,,,,,,,,,
9984,,,,3,2,3,2,2,4,4
9988,,,,2,1,1,2,1,4,4
9990,1,,,,,,,,,
9993,,,,4,1,3,4,3,4,4
9997,1,,,,,,,,,
9999,1,,,,,,,,,
10000,1,,3,,,,,,,
10001,,,,1,1,1,1,1,4,4
10002,,,,3,3,3,5,5,5,5
10003,1,,,,,,,,,
10004,1,,,,,,,,,
10005,1,,,,,,,,,
10006,,,,5,5,5,5,5,1,1
10007,,,,3,2,3,3,3,1,1
10011,1,,,,,,,,,
10012,1,,,,,,,,,
10013,,,,4,3,2,3,3,1,1
10014,1,,,,,,,,,
10015,1,,3,,,,,,,
10017,,,,1,1,1,1,1,4,4
10018,,,,5,5,5,5,5,1,1
10019,1,,,,,,,,,
10020,,,,1,1,1,1,1,4,4
10021,1,,,,,,,,,
10023,1,,,,,,,,,
10024,1,,,,,,,,,
10025,1,,,,,,,,,
10029,1,,,,,,,,,
10030,1,,,,,,,,,
10031,1,,,,,,,,,
10033,1,,,,,,,,,
10034,1,,,,,,,,,
10035,1,,,,,,,,,
10036,1,,,,,,,,,
10037,1,,,,,,,,,
10039,1,,,,,,,,,
10040,1,,,,,,,,,
10041,,,,4,5,4,5,5,1,1
10042,1,,,,,,,,,
10043,,,,4,1,4,4,5,4,4
10044,1,,,,,,,,,
10045,1,,,,,,,,,
10047,,,,2,1,1,1,2,4,4
10049,,,,3,2,3,3,3,4,4
10050,1,,,,,,,,,
10051,1,,,,,,,,,
10052,,,,4,4,4,4,4,4,1
10053,1,,,,,,,,,
