"SEQN","ACD010A","ACD010B","ACD010C","ACQ020","ACQ030","ACD040","ACQ050","ACQ060","ACD070","ACD080"
21005,1,,,,,,,,,
21006,1,,,,,,,,,
21007,1,,,,,,,,,
21008,1,,,,,,,,,
21009,1,,,,,,,,,
21010,1,,,,,,,,,
21012,1,,,,,,,,,
21013,1,,,,,,,,,
21015,1,,,,,,,,,
21016,1,,,,,,,,,
21017,,,,1,1,1,1,1,4,4
21018,1,,,,,,,,,
21019,,,,1,1,1,1,1,4,4
21020,1,,,,,,,,,
21021,1,,,,,,,,,
21023,1,,3,,,,,,,
21024,1,,,,,,,,,
21025,,,,3,3,3,3,3,5,5
21026,1,,,,,,,,,
21029,1,,,,,,,,,
21030,1,,,,,,,,,
21031,1,,,,,,,,,
21032,1,,,,,,,,,
21033,1,,,,,,,,,
21034,1,,,,,,,,,
21035,1,,,,,,,,,
21036,1,,,,,,,,,
21037,1,,,,,,,,,
21038,,,,5,5,5,5,5,1,1
21039,1,,,,,,,,,
21041,,,,4,2,4,5,5,4,4
21043,1,,,,,,,,,
21044,,,,5,1,5,5,5,1,5
21047,,,,4,2,3,4,3,4,4
21048,,,,5,5,5,5,5,1,1
21049,,,,4,2,3,5,3,4,4
21050,1,,,,,,,,,
21051,1,,,,,,,,,
21052,1,,,,,,,,,
21054,1,,,,,,,,,
21055,,,,2,1,3,1,2,4,4
21056,1,,,,,,,,,
21057,1,,,,,,,,,
21058,1,,,,,,,,,
21059,1,,,,,,,,,
21061,1,,,,,,,,,
21063,,,,1,1,1,1,1,4,4
21065,1,,,,,,,,,
21066,1,,,,,,,,,
21067,1,,,,,,,,,
21068,1,,,,,,,,,
21069,,,,1,1,1,1,1,4,4
21070,1,,,,,,,,,
21071,1,,,,,,,,,
21074,1,,,,,,,,,
21076,1,,,,,,,,,
21078,1,,,,,,,,,
21080,1,,,,,,,,,
21082,1,,,,,,,,,
21083,,,,2,1,2,1,1,4,4
21084,1,,,,,,,,,
21085,,,,1,1,1,1,1,4,4
21086,1,,,,,,,,,
21087,,,,2,1,2,2,1,4,4
21088,,,,3,4,2,5,5,4,4
21089,,,,1,1,1,1,1,4,4
21090,1,,,,,,,,,
21091,1,,,,,,,,,
21093,,,,2,1,5,1,3,2,2
21095,,,,4,1,3,9,4,99,4
21096,1,,,,,,,,,
21097,1,,,,,,,,,
21099,1,,,,,,,,,
21100,1,,,,,,,,,
21103,1,,,,,,,,,
21104,1,,,,,,,,,
21105,1,,,,,,,,,
21107,1,,,,,,,,,
21109,1,,,,,,,,,
21110,,,,1,1,1,1,1,4,4
21111,,,,2,1,1,2,2,2,2
21112,,,3,,,,,,,
21113,,,3,,,,,,,
21114,1,,,,,,,,,
21115,,,,1,1,1,1,1,4,4
21116,,,,1,1,1,1,1,4,4
21117,1,,,,,,,,,
21118,,,,3,2,1,2,3,1,1
21119,1,,,,,,,,,
21120,1,,,,,,,,,
21122,,,,2,5,3,2,2,5,4
21123,1,,,,,,,,,
21124,1,,,,,,,,,
21125,,,,2,1,1,1,1,4,4
21129,1,,3,,,,,,,
21130,1,,,,,,,,,
21132,1,,,,,,,,,
21134,1,,,,,,,,,
21136,1,,,,,,,,,
21137,,,,3,1,1,2,3,4,4
21138,,,,2,1,3,2,3,4,4
21141,1,,,,,,,,,
21142,1,,,,,,,,,
21143,1,,,,,,,,,
21144,1,,,,,,,,,
21145,1,,,,,,,,,
21147,1,,,,,,,,,
21148,,,,3,1,3,1,5,4,4
21149,1,,,,,,,,,
21153,1,,,,,,,,,
21154,1,,,,,,,,,
21155,1,,,,,,,,,
21156,,,,1,1,1,1,1,4,4
21158,,,,2,1,5,1,1,1,1
21159,1,,,,,,,,,
21160,1,,,,,,,,,
21161,,,,3,3,3,5,3,4,1
21162,1,,,,,,,,,
21163,1,,,,,,,,,
21164,,,,5,1,4,5,5,4,1
21165,1,,,,,,,,,
21167,1,,,,,,,,,
21169,1,,,,,,,,,
21171,1,,,,,,,,,
21172,1,,,,,,,,,
21173,1,,,,,,,,,
21175,1,,,,,,,,,
21176,1,,,,,,,,,
21177,1,,,,,,,,,
21178,,,,1,1,1,1,1,4,4
21179,,,,4,2,4,5,4,1,1
21180,1,,,,,,,,,
21181,1,,,,,,,,,
21182,1,,,,,,,,,
21183,1,,,,,,,,,
21184,1,,,,,,,,,
21185,1,,,,,,,,,
21186,1,,,,,,,,,
21189,,,,5,5,5,5,5,1,1
21190,,,,4,3,5,5,3,1,1
21192,1,,,,,,,,,
21193,1,,,,,,,,,
21194,1,,,,,,,,,
21195,,,,2,1,1,1,1,4,4
21196,1,,,,,,,,,
21197,,,,2,1,1,2,3,4,4
21199,1,,,,,,,,,
21200,1,,,,,,,,,
21201,1,,,,,,,,,
21202,1,,,,,,,,,
21204,,,,3,3,1,3,2,1,1
21205,1,,,,,,,,,
21206,1,,,,,,,,,
21207,,,,3,1,3,3,3,4,4
21209,1,,,,,,,,,
21210,1,,,,,,,,,
21211,1,,,,,,,,,
21213,1,,,,,,,,,
21214,1,,,,,,,,,
21215,1,,,,,,,,,
21216,1,,,,,,,,,
21217,1,,,,,,,,,
21218,,,,4,3,4,9,4,4,4
21219,1,,,,,,,,,
21220,,,,3,1,3,3,4,5,5
21221,,,,5,5,5,5,5,1,1
21223,1,,,,,,,,,
21224,,,,5,4,5,5,5,99,99
21225,1,,3,,,,,,,
21228,,,3,,,,,,,
21229,1,,,,,,,,,
21232,1,,,,,,,,,
21233,1,,3,,,,,,,
21236,1,,,,,,,,,
21238,1,,,,,,,,,
21239,,,3,,,,,,,
21240,1,,,,,,,,,
21241,1,,,,,,,,,
21242,1,,,,,,,,,
21243,1,,,,,,,,,
21244,1,,,,,,,,,
21245,1,,,,,,,,,
21246,,,,4,4,4,4,4,4,4
21247,1,,,,,,,,,
21249,,,,4,2,4,5,4,1,1
21250,1,,,,,,,,,
21252,1,,,,,,,,,
21253,1,,3,,,,,,,
21256,,,,1,1,1,1,1,4,4
21257,1,,,,,,,,,
21258,,,,3,3,3,3,1,1,1
21260,,,,1,1,1,1,1,10,10
21263,1,,,,,,,,,
21264,,,,3,1,1,3,4,10,10
21265,1,,,,,,,,,
21266,,,3,,,,,,,
21267,1,,,,,,,,,
21269,1,,,,,,,,,
21270,1,,,,,,,,,
21271,1,,,,,,,,,
21272,1,,,,,,,,,
21273,1,,,,,,,,,
21274,1,,,,,,,,,
21275,,,,3,2,3,1,3,4,4
21276,1,,,,,,,,,
21277,1,,,,,,,,,
21278,,,,5,5,5,5,5,4,1
21279,,,,1,1,1,1,1,4,4
21281,,,,1,1,1,1,1,4,4
21283,1,,,,,,,,,
21284,1,,,,,,,,,
21285,1,,,,,,,,,
21286,,,,1,1,1,1,1,4,4
21287,1,,,,,,,,,
21290,1,,,,,,,,,
21291,1,,,,,,,,,
21292,1,,,,,,,,,
21294,1,,3,,,,,,,
21295,,,3,,,,,,,
21297,1,,,,,,,,,
21298,1,,,,,,,,,
21299,,,,3,1,1,3,4,5,5
21300,1,,,,,,,,,
21301,1,,,,,,,,,
21302,1,,,,,,,,,
21303,1,,,,,,,,,
21304,1,,,,,,,,,
21305,1,,,,,,,,,
21306,1,,,,,,,,,
21307,1,,,,,,,,,
21309,1,,,,,,,,,
21310,1,,,,,,,,,
21311,1,,,,,,,,,
21312,1,,,,,,,,,
21313,1,,,,,,,,,
21316,1,,,,,,,,,
21317,1,,,,,,,,,
21318,,,,1,1,1,1,1,4,4
21319,1,,,,,,,,,
21321,1,,,,,,,,,
21323,1,,,,,,,,,
21325,1,,,,,,,,,
21326,,,,5,1,5,5,3,1,1
21327,1,,,,,,,,,
21329,1,,,,,,,,,
21331,,,,4,5,4,5,3,1,1
21332,1,,,,,,,,,
21335,,,,3,1,1,4,3,4,4
21337,1,,,,,,,,,
21339,,,,3,3,4,5,3,1,1
21342,,,,1,1,1,1,1,4,4
21343,1,,,,,,,,,
21344,,,,3,3,3,3,3,4,4
21345,1,,,,,,,,,
21346,,,,2,2,2,3,5,4,4
21347,1,,,,,,,,,
21348,1,,,,,,,,,
21349,1,,,,,,,,,
21350,,,,5,5,5,5,5,1,1
21351,1,,,,,,,,,
21352,,,,1,1,1,1,1,4,4
21353,,,,1,1,1,1,1,4,4
21355,,,3,,,,,,,
21356,1,,,,,,,,,
21357,1,,,,,,,,,
21358,1,,,,,,,,,
21359,,,,2,1,1,1,2,4,4
21360,1,,,,,,,,,
21361,,,,4,3,1,3,5,4,4
21362,1,,,,,,,,,
21363,1,,,,,,,,,
21365,,,,3,1,1,3,5,4,4
21366,1,,,,,,,,,
21367,1,,,,,,,,,
21370,1,,,,,,,,,
21371,1,,,,,,,,,
21373,1,,,,,,,,,
21375,1,,,,,,,,,
21376,1,,,,,,,,,
21378,,,,4,1,3,3,3,1,1
21380,1,,,,,,,,,
21382,1,,,,,,,,,
21384,1,,,,,,,,,
21385,1,,,,,,,,,
21386,1,,,,,,,,,
21388,1,,,,,,,,,
21389,,,,5,4,5,5,4,1,1
21390,1,,,,,,,,,
21391,,,,3,3,3,3,3,1,1
21392,,,,4,1,3,4,5,4,4
21393,1,,,,,,,,,
21394,1,,,,,,,,,
21395,,,,5,5,5,5,5,1,1
21396,,,,2,1,1,1,1,4,4
21399,1,,,,,,,,,
21401,1,,,,,,,,,
21404,1,,,,,,,,,
21407,,,3,,,,,,,
21409,,,,1,1,1,1,1,4,4
21410,,,,3,1,1,3,3,4,4
21411,1,,,,,,,,,
21412,1,,,,,,,,,
21413,1,,,,,,,,,
21414,1,,,,,,,,,
21415,1,,,,,,,,,
21416,,,,5,5,5,5,5,1,1
21417,1,,,,,,,,,
21418,1,,,,,,,,,
21419,,,,4,3,3,2,4,1,4
21420,1,,,,,,,,,
21421,,,,3,3,3,3,3,1,4
21423,1,,,,,,,,,
21424,1,,,,,,,,,
21425,1,,,,,,,,,
21426,,,,1,1,1,1,1,4,4
21427,1,,,,,,,,,
21429,1,,,,,,,,,
21430,1,,,,,,,,,
21431,1,,,,,,,,,
21432,1,,,,,,,,,
21433,1,,,,,,,,,
21434,,,,4,4,4,4,4,4,4
21435,,,,3,1,3,4,5,4,4
21436,,,,1,1,1,1,1,4,4
21437,,,,5,5,5,5,5,1,1
21439,,,,4,5,5,5,5,1,1
21441,1,,,,,,,,,
21442,1,,,,,,,,,
21444,1,,,,,,,,,
21446,1,,,,,,,,,
21447,,,,1,1,1,1,1,4,4
21448,1,,,,,,,,,
21449,1,,,,,,,,,
21451,1,,,,,,,,,
21452,1,,,,,,,,,
21453,,,,1,1,1,1,1,4,4
21455,1,,,,,,,,,
21456,1,,,,,,,,,
21457,1,,,,,,,,,
21459,1,,,,,,,,,
21460,1,,,,,,,,,
21462,1,,,,,,,,,
21463,,,3,,,,,,,
21465,1,,,,,,,,,
21466,,,,1,1,1,1,1,4,4
21467,1,,,,,,,,,
21468,1,,,,,,,,,
21469,,,,4,5,5,4,5,1,1
21470,1,,,,,,,,,
21472,1,,,,,,,,,
21473,1,,,,,,,,,
21476,1,,,,,,,,,
21477,1,,,,,,,,,
21478,,,,4,2,4,9,4,4,4
21481,1,,,,,,,,,
21483,1,,,,,,,,,
21484,1,,,,,,,,,
21485,1,,,,,,,,,
21486,1,,,,,,,,,
21487,1,,,,,,,,,
21488,1,,3,,,,,,,
21489,,,3,,,,,,,
21490,1,,,,,,,,,
21491,1,,,,,,,,,
21493,,,,5,5,5,5,5,1,1
21494,1,,,,,,,,,
21495,1,,,,,,,,,
21497,1,,,,,,,,,
21498,1,,,,,,,,,
21499,,,,5,4,5,5,5,4,4
21500,1,,,,,,,,,
21501,1,,,,,,,,,
21502,1,,,,,,,,,
21504,1,,3,,,,,,,
21505,,,,3,2,2,3,3,4,4
21506,1,,,,,,,,,
21509,1,,,,,,,,,
21510,1,,,,,,,,,
21511,1,,,,,,,,,
21512,1,,,,,,,,,
21513,1,,3,,,,,,,
21514,1,,,,,,,,,
21515,1,,,,,,,,,
21516,,,,4,1,3,4,4,4,4
21517,,,,1,1,1,1,1,10,5
21518,1,,,,,,,,,
21520,,,,4,5,5,4,3,4,1
21521,1,,,,,,,,,
21522,1,,,,,,,,,
21523,,,,3,1,1,3,5,4,4
21525,,,,2,1,1,3,2,4,4
21527,,,,4,3,4,5,4,1,4
21528,1,,,,,,,,,
21529,1,,,,,,,,,
21530,1,,,,,,,,,
21531,1,,,,,,,,,
21532,,,,1,1,1,9,9,4,4
21533,1,2,,,,,,,,
21534,,,,2,1,1,3,1,4,4
21536,,,,3,1,3,4,4,4,4
21537,1,,,,,,,,,
21538,,,,4,2,5,3,1,4,4
21539,,,,4,4,4,4,4,4,1
21540,1,,,,,,,,,
21541,1,,,,,,,,,
21542,1,,,,,,,,,
21543,,,3,,,,,,,
21544,1,,,,,,,,,
21547,,,,3,3,3,5,3,4,4
21548,1,,,,,,,,,
21551,1,,,,,,,,,
21552,1,,,,,,,,,
21553,,,,4,3,4,4,3,1,4
21554,,,3,,,,,,,
21556,,,,2,1,1,1,1,1,4
21557,1,,,,,,,,,
21558,,,,3,2,4,3,4,4,4
21559,1,,,,,,,,,
21561,1,,,,,,,,,
21562,,,,1,1,1,1,1,10,10
21563,,,,5,5,5,5,5,1,1
21564,1,,,,,,,,,
21565,1,,,,,,,,,
21566,1,,,,,,,,,
21567,1,,,,,,,,,
21568,1,,,,,,,,,
21569,1,,,,,,,,,
21571,1,,,,,,,,,
21573,,,,3,1,2,3,4,4,4
21574,1,,,,,,,,,
21576,,,3,,,,,,,
21577,1,,,,,,,,,
21580,,,,5,3,5,5,5,1,4
21582,1,,,,,,,,,
21583,1,,,,,,,,,
21585,1,,,,,,,,,
21586,1,,,,,,,,,
21588,1,,,,,,,,,
21589,,,,4,4,5,5,5,1,4
21591,1,,,,,,,,,
21592,1,,,,,,,,,
21593,1,,,,,,,,,
21598,1,,,,,,,,,
21599,,,,5,5,5,5,5,4,4
21603,1,,,,,,,,,
21605,1,,,,,,,,,
21607,1,,,,,,,,,
21608,1,,,,,,,,,
21610,1,,3,,,,,,,
21611,1,,,,,,,,,
21613,,,,4,5,5,4,4,4,1
21614,1,,,,,,,,,
21615,,,,4,2,4,5,5,4,1
21618,1,,,,,,,,,
21619,1,,,,,,,,,
21620,1,,,,,,,,,
21621,1,,,,,,,,,
21622,1,,,,,,,,,
21623,1,,,,,,,,,
21625,1,,,,,,,,,
21627,1,,,,,,,,,
21630,1,,,,,,,,,
21632,1,,,,,,,,,
21634,1,,,,,,,,,
21635,1,,,,,,,,,
21636,1,,,,,,,,,
21637,1,,,,,,,,,
21639,,,,1,1,1,1,2,10,10
21640,,,,2,1,1,1,3,4,4
21642,1,,,,,,,,,
21643,,,,3,2,3,1,3,1,1
21644,,,,1,1,1,1,1,4,4
21645,1,,,,,,,,,
21646,1,,,,,,,,,
21647,1,,,,,,,,,
21649,,,,4,1,1,3,4,4,4
21650,1,,,,,,,,,
21652,1,,,,,,,,,
21654,1,,3,,,,,,,
21655,1,,,,,,,,,
21656,1,,,,,,,,,
21658,1,,,,,,,,,
21659,,,,5,5,5,5,5,1,1
21660,1,,,,,,,,,
21661,1,,,,,,,,,
21663,1,,,,,,,,,
21664,1,,,,,,,,,
21666,1,,,,,,,,,
21667,1,,,,,,,,,
21668,1,,,,,,,,,
21669,,,,4,1,3,4,4,4,4
21672,,,3,,,,,,,
21673,,,,5,5,5,5,5,1,1
21674,,,,4,1,4,9,5,4,4
21675,1,,,,,,,,,
21676,1,,,,,,,,,
21677,,,,3,3,3,3,3,1,1
21678,1,,,,,,,,,
21681,1,,3,,,,,,,
21682,,,,2,2,1,2,2,4,4
21683,1,,,,,,,,,
21684,1,,,,,,,,,
21685,1,,,,,,,,,
21686,,,,3,1,1,1,1,4,4
21688,1,,,,,,,,,
21690,1,,,,,,,,,
21691,,,,2,1,1,1,2,4,4
21696,1,,,,,,,,,
21699,1,,,,,,,,,
21700,1,,,,,,,,,
21702,1,,,,,,,,,
21703,1,,,,,,,,,
21704,1,,,,,,,,,
21705,,,,3,1,3,1,3,4,4
21712,1,,,,,,,,,
21714,1,,,,,,,,,
21715,1,,,,,,,,,
21716,1,,,,,,,,,
21719,1,,,,,,,,,
21720,1,,,,,,,,,
21721,1,,,,,,,,,
21722,1,,,,,,,,,
21723,1,,,,,,,,,
21724,1,,,,,,,,,
21726,,,,2,1,2,1,2,99,5
21728,1,,,,,,,,,
21730,1,,,,,,,,,
21732,1,,,,,,,,,
21733,,,,2,1,1,1,1,4,4
21735,1,,,,,,,,,
21738,1,,,,,,,,,
21739,1,,,,,,,,,
21740,1,,,,,,,,,
21741,1,,,,,,,,,
21744,1,,,,,,,,,
21745,1,,,,,,,,,
21746,1,,,,,,,,,
21747,1,,,,,,,,,
21748,1,,,,,,,,,
21751,1,,,,,,,,,
21752,1,,,,,,,,,
21753,,,,4,1,4,4,4,4,4
21754,1,,,,,,,,,
21757,1,,,,,,,,,
21758,,,3,,,,,,,
21759,1,,,,,,,,,
21760,1,,,,,,,,,
21762,1,,,,,,,,,
21763,,,,5,5,5,5,5,1,1
21764,1,,,,,,,,,
21768,,,,2,1,2,1,1,2,5
21769,1,,,,,,,,,
21771,1,,,,,,,,,
21772,,,,3,1,5,5,5,4,4
21773,,,,4,4,4,3,3,4,1
21774,1,,,,,,,,,
21775,,,,3,5,5,5,4,1,5
21776,1,,,,,,,,,
21777,1,,,,,,,,,
21779,1,,,,,,,,,
21780,1,,,,,,,,,
21781,1,,,,,,,,,
21782,,,,2,1,1,1,4,5,5
21783,1,,,,,,,,,
21784,1,,,,,,,,,
21785,1,,,,,,,,,
21788,,,,4,5,4,5,5,1,1
21789,1,,,,,,,,,
21790,,,,3,1,4,5,5,1,1
21791,1,,,,,,,,,
21792,1,,,,,,,,,
21793,1,,,,,,,,,
21794,,,,1,1,1,1,1,4,4
21795,1,,,,,,,,,
21796,1,,,,,,,,,
21799,1,,,,,,,,,
21801,1,,,,,,,,,
21802,1,,,,,,,,,
21806,1,,,,,,,,,
21807,1,,,,,,,,,
21808,,,,4,2,4,5,5,4,4
21810,1,,3,,,,,,,
21811,,,,2,1,3,5,5,4,4
21812,,,3,,,,,,,
21813,1,,,,,,,,,
21815,1,,,,,,,,,
21817,,,,5,5,5,5,5,2,1
21819,1,,,,,,,,,
21822,,,,3,1,3,3,3,4,1
21823,,,,5,5,5,5,5,1,1
21824,1,,,,,,,,,
21825,,,,4,4,5,4,3,1,1
21826,1,,,,,,,,,
21828,,,,4,4,5,5,5,4,1
21829,1,,,,,,,,,
21831,1,,,,,,,,,
21832,,,3,,,,,,,
21833,,,,3,2,2,4,4,4,4
21834,,,3,,,,,,,
21835,,,,5,1,5,5,4,1,5
21836,1,,,,,,,,,
21838,,,,1,1,1,1,1,10,10
21841,1,,,,,,,,,
21842,1,,,,,,,,,
21844,,,3,,,,,,,
21845,1,,,,,,,,,
21846,1,,,,,,,,,
21848,,,,3,3,3,3,3,1,1
21849,,,,2,2,3,1,3,1,1
21850,1,,,,,,,,,
21852,1,,,,,,,,,
21853,1,,,,,,,,,
21854,,,,1,1,1,1,1,5,5
21855,1,,,,,,,,,
21857,,,,1,1,1,1,1,4,4
21858,1,,,,,,,,,
21859,1,,,,,,,,,
21860,1,,,,,,,,,
21861,,,,2,1,4,3,5,5,5
21862,1,,,,,,,,,
21864,,,,3,2,3,2,3,4,4
21865,1,,,,,,,,,
21866,1,,,,,,,,,
21867,1,,,,,,,,,
21868,1,,,,,,,,,
21869,1,,,,,,,,,
21870,,,,3,2,1,5,5,4,4
21871,1,,,,,,,,,
21872,1,,,,,,,,,
21873,1,,,,,,,,,
21874,1,,,,,,,,,
21877,1,,,,,,,,,
21878,1,,,,,,,,,
21880,1,,,,,,,,,
21882,1,,3,,,,,,,
21885,,,,1,1,1,1,1,4,4
21886,1,,,,,,,,,
21888,1,,,,,,,,,
21889,1,,,,,,,,,
21890,1,,,,,,,,,
21891,1,,,,,,,,,
21892,,,,2,1,1,1,1,4,4
21893,,,,2,2,1,3,3,4,4
21894,1,,,,,,,,,
21895,1,,,,,,,,,
21896,,,,3,3,3,4,3,1,1
21897,1,,,,,,,,,
21898,,,,4,1,3,5,4,4,1
21901,,,,1,1,1,1,1,4,4
21904,1,,,,,,,,,
21905,,,,5,5,3,5,5,4,4
21907,1,,,,,,,,,
21908,,,,5,5,5,5,5,1,1
21909,1,,,,,,,,,
21910,1,,,,,,,,,
21912,1,,,,,,,,,
21913,,,,1,1,1,1,2,4,4
21915,,,,4,1,5,3,3,4,4
21917,1,,,,,,,,,
21920,,,,4,4,4,4,4,1,4
21922,,,,1,1,1,1,1,5,5
21923,1,,,,,,,,,
21924,1,,,,,,,,,
21926,1,,,,,,,,,
21927,,,,1,1,1,1,1,4,4
21928,1,,,,,,,,,
21929,1,,,,,,,,,
21930,1,,,,,,,,,
21932,1,,,,,,,,,
21933,1,,,,,,,,,
21934,,,,3,3,3,3,2,4,1
21935,1,,,,,,,,,
21939,1,,,,,,,,,
21941,,,,1,1,1,1,1,4,4
21942,1,,,,,,,,,
21943,,,,4,2,3,5,3,4,4
21944,1,,,,,,,,,
21945,1,,,,,,,,,
21947,1,,,,,,,,,
21949,1,,,,,,,,,
21950,1,,,,,,,,,
21951,1,,,,,,,,,
21952,1,,,,,,,,,
21954,1,,,,,,,,,
21956,1,,,,,,,,,
21957,,,3,,,,,,,
21958,1,,,,,,,,,
21962,1,,,,,,,,,
21966,1,,,,,,,,,
21970,,,,4,1,1,5,5,5,5
21972,1,,,,,,,,,
21974,1,,,,,,,,,
21975,1,,,,,,,,,
21976,1,,,,,,,,,
21978,1,,,,,,,,,
21980,1,,,,,,,,,
21981,,,,1,1,1,1,1,4,4
21982,1,,,,,,,,,
21983,1,,,,,,,,,
21986,1,,,,,,,,,
21987,,,3,,,,,,,
21988,,,3,,,,,,,
21991,,,,1,1,1,1,1,4,4
21992,1,,,,,,,,,
21993,1,,,,,,,,,
21994,1,,,,,,,,,
21995,1,,,,,,,,,
21996,1,,,,,,,,,
21997,,,,3,1,2,2,3,4,4
21999,1,,3,,,,,,,
22000,,,,1,1,1,1,1,4,4
22002,1,,,,,,,,,
22004,,,,1,1,1,1,1,4,4
22005,,,,1,1,1,1,1,4,4
22007,,,,1,1,1,1,1,4,4
22008,1,,,,,,,,,
22009,1,,,,,,,,,
22011,,,,2,1,2,1,3,4,4
22012,1,,,,,,,,,
22013,,,,3,2,3,3,4,4,4
22014,1,,,,,,,,,
22018,,,,1,1,1,1,1,4,4
22019,,,,3,3,3,3,3,1,4
22020,1,,,,,,,,,
22021,,,,4,4,5,5,3,1,1
22022,1,,,,,,,,,
22023,1,,,,,,,,,
22024,1,,,,,,,,,
22025,1,,,,,,,,,
22026,1,,,,,,,,,
22028,1,,,,,,,,,
22029,,,,4,3,3,5,5,4,4
22030,,,,3,1,3,4,5,4,4
22032,,,3,,,,,,,
22034,1,,,,,,,,,
22035,,,,5,5,5,5,5,1,1
22042,1,,,,,,,,,
22043,,,,3,1,1,5,5,4,4
