"SEQN","FSD032A","FSD032B","FSD032C","FSD041","FSD052","FSD061","FSD071","FSD081","FSD092","FSD102","FSD032D","FSD032E","FSD032F","FSD111","FSD122","FSD132","FSD141","FSD146","FSDHH","FSDAD","FSDCH","FSD151","FSD401","FSD421","FSD431","FSD411","FSD440","FSD451","FSQ165","FSQ171","FSD225","FSQ235","FSQ162","FSD650ZC","FSD660ZC","FSD675","FSD680","FSD670ZC","FSQ690","FSQ695","FSD650ZW","FSD660ZW","FSD670ZW"
51624,2,2,2,2,,2,2,2,,,2,2,3,2,2,,2,2,3,3,3,1,2,2,2,2,9,2,1,1,61,500,2,,,,,,,,,,
51625,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,2,,2,2,0,2,,,,
51626,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,1,1,5,181,2,,,,,,,,,,
51627,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,1,,,,,,,2,,,,2,,,1,1,60,9,,,,
51628,1,1,3,1,2,1,1,2,2,,,,,,,,,,4,4,,1,1,1,2,2,9,1,1,1,2,109,,,,,,,,,,,
51629,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,1,,,,,,,,,,
51630,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
51631,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,2,,2,2,0,1,6,,,
51632,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,1,1,36,1,6,,,
51633,1,1,2,2,,2,2,2,,,,,,,,,,,3,3,,2,3,3,3,3,2,,1,1,18,54,,,,,,,,,,,
51634,2,3,2,1,3,2,2,2,2,,2,3,3,2,2,,2,2,3,3,2,2,3,3,3,3,,,2,,,,2,,,1,1,60,1,3,,,
51635,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
51636,2,2,2,1,3,1,1,2,2,,2,2,2,1,2,,2,2,4,4,3,2,,,,,,,1,1,108,280,2,2,,1,2,12,1,3,,,
51637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51638,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,2,1,6,2,,,,
51639,1,1,2,2,,2,2,2,,,3,3,3,,,,,,3,3,1,2,3,3,3,3,,,1,1,4,400,2,1,2,1,1,12,1,1,,,
51640,2,2,2,1,3,2,2,2,2,,2,2,2,2,2,,2,2,3,3,3,2,3,3,3,3,2,,1,1,9,140,1,,,,,,,,,,
51641,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
51642,2,1,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,3,3,3,3,,,1,1,8,500,1,,,1,1,48,1,2,,,
51643,3,3,2,2,,2,2,2,,,,,,,,,,,2,2,,2,3,3,3,3,2,,2,,,,2,,,,,,,,,,
51644,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,1,1,21,560,1,1,1,1,,9,2,,,,
51645,2,2,3,2,,2,2,2,,,,,,,,,,,2,2,,2,3,3,3,3,2,,2,,,,,,,,,,,,,,
51646,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,1,2,,,2,,,2,2,0,2,,,,
51647,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
51648,2,2,2,1,2,2,2,2,2,,2,3,3,2,2,,2,2,3,3,2,2,3,3,3,3,2,,1,1,15,140,1,,,,,,,,,,
51649,1,1,2,1,3,1,1,2,2,,2,3,3,2,2,,2,2,3,4,2,1,3,3,3,3,,,1,2,,,2,,,1,1,60,1,2,,,
51650,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,1,1,36,1,1,,,
51651,1,1,1,1,1,1,1,9,1,2,1,1,1,1,1,2,1,2,4,4,4,1,1,1,1,1,2,2,1,1,369,650,2,,,,,,,,,,
51652,2,2,2,2,,2,2,2,,,3,3,3,,,,,,3,3,1,2,7,7,7,7,,,1,2,,,1,1,1,1,1,1,2,,,,
51653,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
51654,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,,,,,,,,,,
51655,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
51656,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
51657,1,1,2,1,1,1,1,1,2,,3,3,3,,,,,,4,4,1,2,3,3,3,3,2,,1,1,9,300,2,,,,,,,,,,
51658,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,2,,
51659,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,2,2,0,2,,,,
51660,1,1,1,1,1,1,1,2,1,1,3,3,3,,,,,,4,4,1,1,2,3,2,3,1,2,1,1,25,200,1,,,,,,,,,,
51661,1,1,1,1,1,2,2,2,2,,,,,,,,,,3,3,,2,3,3,3,3,2,,2,,,,,,,,,,,,,,
51662,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,,,,,,,,,,
51663,2,2,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,3,3,3,3,2,,2,,,,2,,,,,,,,,,
51664,3,3,3,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,2,,,,,,,,,,
51665,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,,,,,,,2,,,,2,2,,1,1,24,1,1,,,
