"SEQN","FSD032A","FSD032B","FSD032C","FSD041","FSD052","FSD061","FSD071","FSD081","FSD092","FSD102","FSD032D","FSD032E","FSD032F","FSD111","FSD122","FSD132","FSD141","FSD146","FSDHH","FSDAD","FSDCH","FSD151","FSQ165","FSQ171","FSD230","FSD225","FSQ235","FSQ162","FSD650ZC","FSD660ZC","FSD675","FSD680","FSD670ZC","FSQ690","FSQ695","FSD650ZW","FSD660ZW","FSD670ZW"
62161,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62162,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,1,1,10,500,2,2,,1,2,24,1,3,,,
62163,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62164,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,2,121,200,2,,,,,,,,,,
62165,2,3,1,2,,1,2,2,2,,3,3,3,,,,,,3,3,1,2,1,2,,,,2,,,,,,,,,,
62166,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,2,2,0,2,,,,
62167,2,2,2,2,,1,2,2,2,,1,1,2,2,2,,2,2,3,3,3,1,1,1,1,21,751,1,1,1,1,,12,1,3,,,
62168,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,2,2,0,2,,,,
62169,1,2,2,1,2,1,2,2,2,,2,3,3,2,2,,2,2,3,4,2,2,1,1,1,14,200,2,,,,,,,,,,
62170,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62171,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62172,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,1,1,6,100,2,,,,,,,,,,
62173,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,1,1,1,1,1,24,1,2,,,
62174,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,
62175,2,2,3,1,2,1,1,2,2,,3,3,3,,,,,,3,4,1,2,1,1,1,18,950,1,1,2,1,1,60,1,3,,,
62176,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,2,,
62177,2,2,2,2,,1,2,2,2,,1,1,2,2,2,,2,2,3,3,3,1,1,1,1,21,751,1,,,,,,,,,,
62178,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,
62179,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62180,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62181,1,1,2,2,,2,2,2,,,2,2,2,2,2,,2,2,3,3,3,2,1,1,1,30,275,2,,,1,1,60,1,2,,,
62182,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,
62183,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,2,2,0,2,,,,
62184,1,1,3,1,3,1,2,2,2,,3,3,3,,,,,,3,3,1,2,1,2,,,,2,,,,,,,,,,
62185,2,2,2,2,,2,2,2,,,2,3,3,1,2,,1,2,3,3,3,2,2,,,,,2,,,,,,,,,,
62186,3,3,3,,,,,,,,2,3,3,2,2,,2,2,2,1,2,2,1,1,1,11,975,1,,,,,,,,,,
62187,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,7,,,,,2,,,1,1,60,1,2,,,
62188,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,1,1,1,1,42,600,1,1,1,1,1,24,1,3,,,
62189,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,2,,
62190,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62191,1,1,2,2,,1,2,2,2,,,,,,,,,,3,3,,1,1,1,1,13,115,,,,,,,,,,,
62192,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,2,,,,2,,,1,1,60,1,2,,,
62193,3,1,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,2,,,,,2,,,,,,,,,,
62194,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,2,2,0,2,,,,
62195,2,2,2,2,,2,1,2,2,,3,3,3,,,,,,3,3,1,2,1,2,,,,1,,,,,,,,,,
62196,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,1,2,,2,2,0,2,,,,
62197,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62198,2,2,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,1,1,0,334,2,,,1,1,48,2,,,,
62199,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,
62200,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62201,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62202,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62203,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,1,1,48,1,2,,,
62204,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,2,2,0,2,,,,
62205,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62206,3,3,2,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,2,,,,,2,,,,,,,,,,
62207,1,1,3,1,2,1,1,1,1,3,3,3,3,,,,,,4,4,1,2,1,1,1,6,200,1,2,,2,,0,1,1,,,
62208,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62209,2,1,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,1,2,103,105,2,,,,,,,,,,
62210,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62211,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62212,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,1,2,12,1,1,,,
62213,1,1,2,1,1,1,1,2,2,,2,2,2,1,1,2,1,2,4,4,4,2,2,,,,,1,1,1,1,1,24,1,6,,,
62214,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,1,4,734,1,,,,,,,,1,1,7
62215,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,
62216,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,2,,2,,0,2,,,,
62217,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,2,,,,2,,,,,,,,,,
62218,2,2,1,1,2,2,2,2,2,,3,3,3,,,,,,3,3,1,2,2,,,,,2,,,,,,,,,,
62219,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,1,1,1,1,2,500,2,2,,1,2,12,9,,,,
62220,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,2,,,,,,,,,,
62221,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62222,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,2,,,,,,,,,,
62223,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62224,2,1,2,1,3,2,2,2,2,,3,3,3,,,,,,3,3,1,2,2,,,,,2,,,,,,,,,,
62225,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62226,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,
62227,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62228,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62229,2,2,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,1,2,,,,,1,,,,,,,,,,
62230,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,
62231,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,2,,,,,,,,,,
62232,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62233,3,3,2,2,,2,2,2,,,2,3,3,2,2,,2,2,2,2,2,1,1,1,1,12,87,2,,,,,,,,,,
62234,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,2,,,,,,,,,,
62235,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,2,,2,2,0,2,,,,
62236,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62237,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,2,,,,2,,,,,,,,,,
62238,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,2,,,,2,2,,2,,0,2,,,,
62239,2,1,2,2,,2,1,1,2,,,,,,,,,,3,3,,2,2,,,,,2,,,,,,,,,,
62240,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62241,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,1,2,1,1,12,1,5,,,
62242,2,3,3,2,,1,2,2,2,,,,,,,,,,2,2,,2,2,,,,,,,,,,,,,,,
62243,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,2,,2,2,0,2,,,,
62244,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,2,,2,2,0,2,,,,
62245,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,2,2,0,2,,,,
62246,2,2,1,2,,1,2,2,2,,2,2,3,1,1,2,2,2,4,3,4,2,2,,,,,1,1,1,1,,1,2,,,,
62247,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,2,,2,,0,2,,,,
62248,3,3,3,,,,,,,,1,1,3,2,2,,2,2,2,1,3,2,2,,,,,1,,,,,,,,,,
62249,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,2,,,,,,,,,,
62250,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62251,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,2,,,,,,,,,,
62252,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,2,2,0,1,6,,,
62253,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,2,,,,,,,,,,
62254,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62255,3,3,3,,,,,,,,,,,,,,,,1,1,,1,1,1,1,9,24,,,,,,,,,,,
62256,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,
62257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,24,9,,,,
62258,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62259,2,2,3,2,,2,2,2,,,,,,,,,,,2,2,,1,1,1,1,12,115,2,,,,,,,,,,
62260,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,2,2,0,2,,,,
62261,1,2,1,1,1,1,1,1,2,,3,3,1,2,2,,2,2,4,4,2,2,2,,,,,2,,,,,,,,,,
62262,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,1,1,1,1,,10,1,1,,,
62263,1,1,2,1,1,1,1,1,1,1,1,3,3,2,2,,2,2,4,4,2,1,1,1,1,23,167,2,1,1,1,1,24,2,,,,
62264,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,
62265,2,2,2,1,2,1,1,2,2,,2,2,2,1,2,,1,2,4,4,4,1,2,,,,,2,,,,,,,,,,
62266,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,1,1,39,200,2,,,,,,,,,,
62267,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,1,,,,,,,,2,,
62268,1,2,2,1,3,1,1,2,2,,2,2,2,2,2,,2,2,4,4,3,2,2,,,,,2,,,,,,,,,,
62269,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,2,,,,2,,,,,,,,,,
62270,2,2,2,1,2,1,2,2,2,,,,,,,,,,4,4,,2,1,1,1,27,290,2,,,,,,,,,,
62271,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,1,33,300,,,,1,1,12,9,,,,
62272,1,1,2,2,,2,2,2,,,2,2,3,1,2,,2,2,3,3,3,2,1,1,1,4,600,1,,,1,1,60,1,8,,,
62273,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62274,2,2,3,1,3,1,1,2,1,3,2,3,3,2,2,,2,2,3,4,2,1,1,1,1,21,536,1,1,1,1,1,24,1,4,,,
62275,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,2,,,,,,,,,,
62276,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,2,2,0,2,,,,
62277,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,2,,,,,,,,,,
62278,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,
62279,3,2,2,2,,2,1,2,2,,,,,,,,,,3,3,,1,1,1,1,21,200,2,,,,,,,,,,
62280,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,2,,,,,,,,,,
62281,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,1,16,428,2,,,,,,,,,,
62282,3,2,3,2,,2,2,2,,,,,,,,,,,2,2,,2,2,,,,,2,,,,,,,,,,
62283,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,1,2,1,1,18,2,,,,
62284,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,
62285,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62286,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,1,,,,,,9,,,,,,,,,,
62287,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,
62288,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,
62289,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,
62290,3,2,3,2,,1,2,2,2,,2,2,2,2,2,,2,2,3,2,3,2,1,1,1,20,560,1,1,1,1,1,24,1,2,,,
62291,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,2,,,,,,,,,,
62292,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,
62293,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,
62294,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,,2,2,4,4,3,2,1,1,1,1,400,2,,,1,2,36,2,,,,
62295,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,1,1,20,200,,,,,,,,,,,
62296,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,2,,,,,,,,,,
62297,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62298,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62299,3,2,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,2,,,,,2,,,2,2,0,2,,,,
62300,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,2,2,0,2,,,,
62301,2,2,2,1,2,1,2,2,2,,2,2,3,1,2,,2,2,4,4,3,2,1,1,1,28,367,1,,,,,,,,,,
62302,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,2,,,,,,,,,,
62303,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,2,,,,,,,,,,
62304,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,1,7,275,1,,,2,1,48,1,3,,,
62305,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,1,2,6,2,,,,
62306,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,2,,2,,0,2,,,,
62307,2,1,2,2,,2,2,2,,,,,,,,,,,3,3,,2,1,1,1,11,380,,,,,,,,,,,
62308,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,
62309,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,1,1,17,300,1,,,,,,,,,,
62310,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,2,,,,2,,,1,1,999,1,1,,,
62311,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62312,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,1,20,300,1,,,,,,,,,,
62313,2,3,2,2,,2,2,2,,,2,2,2,2,2,,2,2,3,2,3,2,1,1,1,10,150,1,,,1,1,6,1,3,,,
62314,1,1,1,1,1,1,1,2,2,,,,,,,,,,4,4,,2,1,1,1,25,200,,,,,,,,,,,
62315,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,,,,,,,,,,,
62316,1,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,1,1,1,1,10,674,2,,,,,,,,,,
62317,2,3,2,2,,2,2,2,,,2,2,3,1,2,,2,2,3,2,3,1,2,,,,,1,,,,,,,,,,
62318,1,2,1,2,,1,2,2,2,,2,2,3,2,2,,2,2,3,3,3,1,1,1,1,18,550,1,1,1,1,,7,1,3,,,
62319,2,2,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,1,1,13,660,1,1,1,1,1,48,1,3,,,
62320,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,2,,,,,,,,,,,,,,
62321,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,2,2,0,2,,,,
62322,2,2,2,2,,2,1,1,1,2,3,3,3,,,,,,3,4,1,2,1,1,1,5,500,1,1,2,1,1,36,1,7,,,
62323,3,2,3,2,,1,2,2,2,,2,2,2,2,2,,2,2,3,2,3,2,1,1,1,20,560,1,1,1,1,1,24,1,3,,,
62324,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,1,,,,,,,,,,
62325,3,3,3,,,,,,,,,,,,,,,,1,1,,2,1,2,,,,2,,,,,,,,,,
62326,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,2,,,,,,,,,,
62327,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,2,,,,2,,,,,,,,,,
62328,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,2,,,,2,,,1,1,36,1,2,,,
62329,1,1,1,1,1,1,1,2,2,,2,2,2,1,1,2,2,2,4,4,4,2,2,,,,,2,2,,1,2,3,2,,,,
62330,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,2,,,,,,,,,,
62331,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,2,2,0,2,,,,
62332,2,3,2,2,,2,2,2,,,,,,,,,,,2,2,,2,2,,,,,2,,,,,,,,,,
62333,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,2,,,,,,,,,,
62334,2,2,2,2,,2,2,2,,,2,2,3,2,2,,2,2,3,3,3,2,1,1,1,23,180,2,,,1,1,36,1,3,,,
62335,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62336,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,2,,,,,,,,,,
62337,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,2,2,0,2,,,,
62338,1,2,3,1,3,1,1,1,2,,3,3,3,,,,,,3,4,1,2,1,1,1,13,450,1,1,1,1,1,24,9,,,,
62339,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62340,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62341,2,2,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,2,,,,,2,,,1,1,24,1,99,,,
62342,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62343,2,2,2,1,2,1,1,1,2,,,,,,,,,,4,4,,2,1,1,1,14,338,2,,,,,,,,,,
62344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62345,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,2,,
62346,2,2,3,1,3,2,2,2,2,,,,,,,,,,3,3,,2,2,,,,,,,,,,,,,,,
62347,2,2,2,1,2,1,2,2,2,,,,,,,,,,4,4,,1,2,,,,,,,,,,,,,,,
62348,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62349,3,3,3,,,,,,,,,,,,,,,,1,1,,1,1,1,9,99999,130,2,,,,,,,,,,
62350,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62351,1,1,1,1,2,1,1,2,2,,2,2,2,2,2,,2,2,4,4,3,1,1,1,1,20,428,2,,,1,1,60,1,1,,,
62352,1,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,1,1,12,400,1,1,1,1,1,36,1,3,,,
62353,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,
62354,3,3,2,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,2,,,,,2,,,2,2,0,2,,,,
62355,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62356,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62357,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62358,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,2,,,,,2,2,,2,,0,2,,,,
62359,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62360,1,1,2,2,,2,2,2,,,2,2,3,2,2,,2,2,3,3,3,2,1,1,1,370,575,2,,,,,,,,,,
62361,2,3,3,2,,2,2,2,,,2,3,3,2,2,,2,2,2,2,2,2,1,1,1,1,657,1,,,1,1,60,1,4,,,
62362,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,1,19,150,2,,,2,1,48,1,4,,,
62363,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,1,5,163,2,,,,,,,,,,
62364,3,2,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,2,,,,,2,2,,2,2,0,2,,,,
62365,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,2,,,,,,,,,,
62366,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,
62367,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,,,,,,,,
62368,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,2,,,,,,,,,,
62369,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,2,,,,,2,,,2,1,24,2,,,,
62370,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,2,,,,,,,,,,
62371,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,2,,,,,,,,,,
62372,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,2,,,,,,,,,,
62373,1,1,3,1,2,1,2,2,2,,3,3,3,,,,,,3,3,1,2,1,1,1,29,325,2,,,,,,,,,,
62374,3,3,3,,,,,,,,3,3,3,,,,,,1,1,1,2,1,1,1,20,440,1,,,,,,,,,,
62375,2,3,3,2,,2,2,2,,,3,3,3,,,,,,2,2,1,2,1,1,1,17,490,1,,,,,,,,,,
62376,2,2,2,1,3,1,1,2,2,,3,3,3,,,,,,3,4,1,2,1,1,1,21,650,2,,,1,2,2,2,,,,
62377,3,3,3,,,,,,,,,,,,,,,,1,1,,1,2,,,,,,,,,,,,,,,
62378,3,3,3,,,,,,,,,,,,,,,,1,1,,2,2,,,,,,,,,,,,,,,
