"SEQN","HOD010","HOD030","HOD040","HOD050","HOD060","HOQ065","HOQ070","HOQ080","HOD140","HOD150","HOD160","HOD170","HOD180","HOD190","HOD210","HOD220"
1,2,,99,6,2,2,1,2,2,,2,,,2,,2
2,4,5,4,2,5,2,1,2,,,,,,,,
3,4,6,2,4,2,2,1,1,,,,,,,,
4,2,,3,5,5,2,1,2,2,,2,,,2,,2
5,2,,1,7,3,1,1,2,,,,,,,,
6,4,5,3,4,1,2,1,2,,,,,,,,
7,,,,,,,,,,,,,,,,
8,2,,5,7,2,1,1,1,,,,,,,,
9,4,7,99,4,5,2,1,2,,,,,,,,
10,1,,99,4,99,2,9,9,,,,,,,,
11,2,,2,7,5,1,2,1,,,,,,,,
12,2,,3,6,2,1,1,1,,,,,,,,
13,3,,5,6,5,1,1,2,,,,,,,,
14,3,,6,5,5,1,1,2,,,,,,,,
15,2,,2,6,5,1,1,2,,,,,,,,
16,2,,4,5,5,1,1,2,,,,,,,,
17,2,,3,8,2,1,1,2,1,2,2,,,2,,2
18,3,,2,7,2,1,1,1,1,1,2,,,1,2,1
19,2,,4,5,2,1,1,2,,,,,,,,
20,4,7,4,3,2,2,1,2,,,,,,,,
21,2,,3,5,5,1,2,2,,,,,,,,
22,2,,4,6,1,2,1,2,,,,,,,,
23,3,,99,6,5,1,1,2,,,,,,,,
24,1,,2,6,2,1,2,2,,,,,,,,
25,2,,5,5,2,2,1,1,,,,,,,,
26,2,,2,7,2,1,1,2,,,,,,,,
27,4,6,99,1,3,2,1,2,,,,,,,,
28,2,,5,6,4,1,1,2,,,,,,,,
29,1,,99,5,3,2,2,2,,,,,,,,
30,1,,99,9,2,2,1,2,,,,,,,,
31,4,3,4,3,2,2,1,2,,,,,,,,
32,2,,1,10,1,1,1,2,,,,,,,,
33,2,,99,5,3,1,1,2,,,,,,,,
34,1,,99,8,2,2,1,2,,,,,,,,
35,2,,2,7,1,1,1,2,2,,2,,,2,,2
36,2,,3,6,2,1,1,1,,,,,,,,
37,2,,1,8,2,1,1,2,2,,2,,,2,,2
38,,,,,,,,,,,,,,,,
39,2,,99,8,3,2,1,2,,,,,,,,
40,2,,99,5,3,2,1,2,,,,,,,,
41,1,,1,5,3,1,2,2,2,,2,,,2,,2
42,2,,99,6,5,2,1,2,,,,,,,,
43,4,5,99,4,4,2,1,2,,,,,,,,
44,2,,1,8,3,1,1,1,,,,,,,,
45,2,,1,6,3,1,1,2,,,,,,,,
46,4,7,4,3,3,2,1,2,,,,,,,,
47,3,,2,6,3,1,1,2,,,,,,,,
48,2,,5,7,1,2,1,2,,,,,,,,
49,2,,4,8,4,1,1,1,,,,,,,,
50,4,1,99,4,3,2,1,2,2,,2,,,2,,2
51,2,,5,6,1,2,1,2,,,,,,,,
52,2,,99,5,2,2,1,2,,,,,,,,
53,1,,99,777,1,2,1,2,,,,,,,,
54,4,1,2,4,2,2,1,1,2,,2,,,2,,1
55,4,6,99,7,5,2,1,1,,,,,,,,
56,2,,6,6,2,2,1,2,,,,,,,,
57,4,1,6,5,1,2,1,2,,,,,,,,
58,4,7,6,2,2,2,1,2,,,,,,,,
59,2,,3,5,5,1,1,1,,,,,,,,
60,,,,,,,,,,,,,,,,
61,3,,4,7,2,2,1,2,2,,2,,,2,,2
62,2,,2,7,4,1,1,1,,,,,,,,
63,4,5,99,4,2,2,1,2,,,,,,,,
64,2,,3,10,5,1,2,1,,,,,,,,
65,4,4,99,4,4,2,1,2,,,,,,,,
66,2,,99,6,5,1,1,2,,,,,,,,
67,2,,99,5,3,2,1,2,,,,,,,,
68,2,,3,7,5,1,2,2,,,,,,,,
69,4,5,99,4,1,2,1,2,,,,,,,,
70,2,,99,6,2,1,1,2,2,,1,2,,2,,2
71,2,,3,6,2,1,1,1,,,,,,,,
72,4,7,99,5,5,2,1,2,,,,,,,,
73,3,,99,5,3,2,1,2,,,,,,,,
74,2,,3,4,3,1,1,2,,,,,,,,
75,2,,99,8,2,1,1,2,,,,,,,,
76,4,5,99,4,3,2,1,2,,,,,,,,
77,2,,99,5,1,2,1,1,,,,,,,,
78,2,,6,11,4,1,1,1,,,,,,,,
79,3,,99,8,2,2,1,2,1,2,2,,,2,,2
80,2,,5,5,5,1,1,2,,,,,,,,
81,5,,2,5,2,1,1,1,,,,,,,,
82,3,,3,8,3,1,1,1,2,,2,,,1,2,2
83,2,,3,6,4,1,1,2,,,,,,,,
84,2,,6,5,2,1,1,2,,,,,,,,
85,2,,3,5,1,2,1,2,,,,,,,,
86,2,,5,3,3,1,1,2,,,,,,,,
87,2,,4,5,5,1,1,2,,,,,,,,
88,2,,99,6,2,1,1,2,,,,,,,,
89,2,,5,5,4,1,1,2,2,,2,,,2,,2
90,2,,2,4,5,1,2,1,,,,,,,,
91,1,,3,5,1,1,1,2,,,,,,,,
92,2,,3,6,3,1,1,1,,,,,,,,
93,2,,5,6,5,1,1,2,,,,,,,,
94,5,,3,13,5,1,1,1,,,,,,,,
95,4,5,99,1,1,2,1,2,,,,,,,,
96,2,,4,5,3,1,1,2,,,,,,,,
97,2,,99,6,3,1,1,2,,,,,,,,
98,4,6,99,4,5,2,1,2,,,,,,,,
99,4,5,99,2,1,2,1,9,,,,,,,,
100,3,,4,5,4,2,1,2,,,,,,,,
101,3,,2,3,2,2,1,2,,,,,,,,
102,2,,3,6,3,2,1,2,,,,,,,,
103,4,5,99,5,2,2,1,2,1,9,1,1,1,9,,2
104,1,,99,4,2,2,1,1,2,,2,,,2,,2
105,4,7,99,4,5,2,1,2,,,,,,,,
106,1,,4,4,3,2,2,2,,,,,,,,
107,2,,99,9,2,1,1,2,,,,,,,,
108,2,,3,9,5,1,1,2,,,,,,,,
109,2,,1,5,4,1,1,1,,,,,,,,
110,4,1,99,4,3,2,1,2,,,,,,,,
111,2,,1,6,3,1,1,2,,,,,,,,
112,3,,3,4,3,2,1,1,,,,,,,,
113,2,,2,7,2,1,1,1,,,,,,,,
114,2,,1,8,3,1,1,1,,,,,,,,
115,1,,1,6,1,3,1,2,,,,,,,,
116,2,,3,8,3,1,1,1,1,1,2,,,2,,1
117,4,4,99,8,3,2,1,2,,,,,,,,
118,2,,1,5,4,1,1,2,,,,,,,,
119,2,,1,11,2,1,1,2,,,,,,,,
120,2,,3,8,2,1,1,1,,,,,,,,
121,1,,99,8,2,2,1,2,,,,,,,,
122,2,,4,5,5,1,1,2,,,,,,,,
123,2,,5,7,4,1,1,2,,,,,,,,
124,3,,6,6,4,2,1,2,,,,,,,,
125,3,,3,5,3,2,1,2,,,,,,,,
126,2,,1,6,3,1,1,1,,,,,,,,
127,4,5,6,3,3,2,1,1,,,,,,,,
128,3,,3,6,1,2,1,2,,,,,,,,
129,2,,3,8,5,1,1,2,,,,,,,,
130,2,,6,5,5,1,1,1,,,,,,,,
131,2,,2,6,5,1,1,1,,,,,,,,
132,1,,1,5,2,1,1,2,,,,,,,,
133,3,,2,4,5,1,1,2,2,,2,,,2,,2
134,4,6,2,5,4,1,1,2,,,,,,,,
135,4,6,99,5,5,2,1,2,,,,,,,,
136,2,,99,4,4,1,1,2,,,,,,,,
137,2,,1,7,2,1,1,1,,,,,,,,
138,2,,3,10,4,1,1,1,,,,,,,,
139,2,,2,7,5,1,1,2,,,,,,,,
140,4,4,3,4,1,2,1,2,,,,,,,,
141,4,99,99,4,5,2,1,2,,,,,,,,
142,2,,6,7,5,1,1,1,,,,,,,,
143,1,,99,3,1,2,1,2,,,,,,,,
144,2,,99,6,1,2,1,2,,,,,,,,
145,2,,3,12,5,1,1,2,,,,,,,,
146,2,,4,6,3,1,1,2,,,,,,,,
147,4,7,99,4,1,2,1,2,,,,,,,,
148,3,,4,3,3,1,1,2,,,,,,,,
149,3,,99,5,3,2,1,2,,,,,,,,
150,2,,3,6,5,1,2,2,,,,,,,,
151,4,6,6,4,1,2,1,2,,,,,,,,
152,4,4,3,4,5,2,1,2,2,,2,,,2,,2
153,2,,2,5,4,1,1,2,,,,,,,,
154,2,,2,5,1,2,1,2,,,,,,,,
155,4,7,99,4,3,2,1,2,2,,2,,,2,,2
156,4,6,3,3,1,2,1,2,,,,,,,,
157,2,,2,8,4,1,1,1,1,2,1,2,,2,,2
158,3,,99,6,2,2,1,2,,,,,,,,
159,2,,2,9,5,1,2,1,,,,,,,,
160,2,,2,9,3,1,1,2,,,,,,,,
161,4,3,99,6,4,1,1,2,,,,,,,,
162,2,,99,2,3,1,2,2,,,,,,,,
163,2,,3,6,5,1,1,2,,,,,,,,
164,2,,4,6,5,1,1,1,,,,,,,,
165,2,,99,8,3,1,1,2,,,,,,,,
166,2,,6,12,2,2,1,1,,,,,,,,
167,3,,2,7,1,1,1,2,,,,,,,,
168,4,6,2,3,5,2,1,2,,,,,,,,
169,4,1,99,3,1,2,1,2,,,,,,,,
170,2,,3,3,1,1,1,2,,,,,,,,
171,2,,6,6,5,1,1,1,,,,,,,,
172,2,,3,5,5,1,1,2,,,,,,,,
173,2,,4,6,5,1,1,2,,,,,,,,
174,4,3,99,4,1,2,1,2,9,,2,,,2,,2
175,2,,99,7,3,1,1,2,,,,,,,,
176,3,,4,7,5,3,2,2,,,,,,,,
177,2,,2,4,4,1,1,2,,,,,,,,
178,4,7,99,4,5,2,1,2,,,,,,,,
179,2,,3,9,5,1,1,1,,,,,,,,
180,4,6,1,7,1,2,1,1,,,,,,,,
181,2,,3,7,5,1,1,2,,,,,,,,
182,2,,3,4,3,1,1,2,,,,,,,,
183,3,,2,5,4,1,1,2,,,,,,,,
184,4,6,99,4,3,2,1,2,,,,,,,,
185,1,,1,3,3,1,1,2,,,,,,,,
186,4,99,2,7,5,2,1,2,,,,,,,,
187,2,,1,6,3,1,1,2,,,,,,,,
188,3,,6,6,5,1,2,1,,,,,,,,
189,2,,2,5,4,1,1,2,,,,,,,,
190,2,,3,7,5,1,1,2,,,,,,,,
