"SEQN","HOD010","HOD030","HOD040","HOD050","HOD060","HOQ065","HOQ070","HOQ080","HOD140","HOD150","HOD160","HOD170","HOD180","HOD190","HOD210","HOD220"
9966,2,,6,5,1,2,1,2,,,,,,,,
9967,2,,99,8,3,1,1,2,,,,,,,,
9968,2,,99,6,3,1,1,2,,,,,,,,
9969,2,,6,8,5,1,1,1,,,,,,,,
9970,2,,1,6,5,1,2,1,,,,,,,,
9971,4,3,99,6,2,2,1,2,,,,,,,,
9972,2,,5,6,5,1,1,2,,,,,,,,
9973,4,4,99,3,4,2,1,2,,,,,,,,
9974,5,,3,5,5,1,1,2,,,,,,,,
9975,4,7,1,3,3,2,1,1,,,,,,,,
9976,4,3,99,4,3,2,1,2,,,,,,,,
9977,4,5,1,4,2,2,1,2,2,,2,,,2,,2
9978,2,,2,8,5,1,1,1,,,,,,,,
9979,2,,3,5,5,1,1,1,,,,,,,,
9980,4,7,2,3,5,2,1,2,,,,,,,,
9981,2,,1,6,1,1,1,2,,,,,,,,
9982,2,,3,5,4,1,1,2,,,,,,,,
9983,4,4,77,6,1,2,1,2,1,9,2,,,2,,9
9984,2,,3,7,3,1,1,2,,,,,,,,
9985,3,,6,9,1,2,1,1,,,,,,,,
9986,2,,99,6,3,2,1,2,,,,,,,,
9987,4,4,1,7,1,2,1,2,1,1,2,,,2,,2
9988,2,,5,4,5,1,1,2,,,,,,,,
9989,1,,3,5,2,1,2,2,,,,,,,,
9990,4,5,3,5,3,2,1,2,,,,,,,,
9991,4,3,99,4,2,2,1,2,2,,2,,,2,,2
9992,2,,1,8,4,1,1,2,1,2,2,,,2,,2
9993,2,,4,5,5,1,1,2,,,,,,,,
9994,3,,99,3,3,2,1,2,,,,,,,,
9995,2,,1,6,1,1,1,2,,,,,,,,
9996,3,,99,8,3,1,1,2,,,,,,,,
9997,2,,99,6,1,2,1,2,,,,,,,,
9998,4,6,99,4,1,2,1,2,,,,,,,,
9999,4,5,99,4,2,2,1,1,,,,,,,,
10000,2,,2,5,5,1,1,2,,,,,,,,
10001,1,,99,6,3,1,1,2,,,,,,,,
10002,2,,2,6,2,1,1,1,,,,,,,,
10003,4,6,99,3,99,2,1,2,,,,,,,,
10004,2,,1,9,4,1,1,2,,,,,,,,
10005,2,,99,8,4,2,1,2,,,,,,,,
10006,6,,99,1,1,3,1,2,,,,,,,,
10007,2,,6,4,5,3,1,2,,,,,,,,
10008,2,,1,6,1,1,1,2,,,,,,,,
10009,4,1,99,5,1,2,1,2,2,,1,2,,2,,2
10010,2,,99,5,2,2,1,2,,,,,,,,
10011,2,,6,8,5,1,1,2,,,,,,,,
10012,2,,99,6,1,2,1,2,,,,,,,,
10013,1,,1,6,99,3,1,2,,,,,,,,
10014,2,,4,7,5,1,1,2,,,,,,,,
10015,3,,3,6,1,1,1,2,,,,,,,,
10016,2,,3,7,3,1,1,2,2,,1,2,,2,,2
10017,2,,99,5,3,1,1,1,,,,,,,,
10018,2,,4,5,5,1,2,2,,,,,,,,
10019,2,,6,7,5,1,1,2,,,,,,,,
10020,4,6,99,4,4,2,1,2,,,,,,,,
10021,2,,99,5,2,2,1,2,,,,,,,,
10022,2,,99,6,4,1,1,2,,,,,,,,
