"SEQN","HOQ011","HOD030","HOQ040","HOD050","HOD060","HOQ065","HOQ070","HOQ080","HOQ230","HOQ240","HOQ250","HOQ260A","HOQ260B","HOQ260C","HOQ270","HOQ280A","HOQ280B","HOQ280C"
31127,4,1,99,4,1,2,2,2,2,2,1,1,2,,,,,
31128,2,,77,7,3,1,1,2,1,1,2,,,,2,,,
31129,1,,3,10,2,1,1,2,2,2,1,1,,,,,,
31130,4,7,2,1,3,2,1,2,2,2,2,,,,2,,,
31131,2,,3,8,4,1,1,2,2,2,1,,2,,,,,
31132,2,,3,8,5,1,1,1,2,2,2,,,,2,,,
31133,2,,1,10,4,1,1,1,2,2,2,,,,2,,,
31134,2,,6,7,5,1,2,2,2,2,2,,,,2,,,
31135,3,,3,8,3,1,1,1,2,2,2,,,,2,,,
31136,4,5,99,5,1,2,1,2,2,2,2,,,,2,,,
31137,2,,4,7,1,2,1,2,2,1,1,1,,,,,,
31138,2,,99,7,1,1,1,2,2,2,2,,,,2,,,
31139,3,,6,8,2,2,1,2,2,2,2,,,,2,,,
31140,2,,2,11,5,1,1,1,2,2,1,,,3,,,,
31141,2,,6,7,5,1,1,1,2,2,2,,,,2,,,
31142,2,,3,6,5,1,1,2,1,2,1,1,,,,,,
31143,2,,6,7,5,1,1,1,2,2,1,,2,,,,,
31144,2,,99,11,3,1,1,1,2,2,1,,2,,,,,
31145,2,,5,7,1,2,1,2,2,2,2,,,,1,1,,
31146,3,,6,8,3,1,1,2,1,2,1,,2,,,,,
31147,3,,99,6,2,2,1,2,1,1,2,,,,2,,,
31148,2,,99,5,1,2,1,2,2,2,1,1,,3,,,,
31149,2,,5,6,5,1,1,2,2,2,2,,,,2,,,
31150,2,,1,1,5,1,2,2,2,2,2,,,,2,,,
31151,2,,1,8,3,1,1,2,2,2,1,1,,,,,,
31152,1,,3,4,2,1,1,2,1,1,1,1,,,,,,
31153,3,,3,4,5,2,1,2,2,2,1,1,2,,,,,
31154,4,6,3,4,5,2,1,2,2,2,2,,,,2,,,
31155,4,1,3,4,1,2,1,2,2,2,2,,,,2,,,
31156,2,,2,5,5,1,1,2,1,1,1,1,,,,,,
31157,4,5,4,3,3,2,1,2,2,2,2,,,,2,,,
31158,2,,2,5,2,1,1,2,2,1,2,,,,2,,,
31159,4,7,3,5,5,2,1,2,2,2,2,,,,2,,,
31160,2,,2,6,5,1,2,2,2,2,1,1,,,,,,
31161,2,,1,7,3,1,1,2,2,2,1,,2,,,,,
31162,2,,6,6,5,1,1,2,2,2,1,,2,,,,,
31163,2,,2,8,2,1,1,2,2,2,2,,,,2,,,
31164,2,,2,6,5,1,1,2,2,1,1,1,,,,,,
31165,2,,4,7,2,1,1,1,2,2,1,1,,,,,,
31166,2,,4,8,3,1,1,2,1,2,1,1,,,,,,
