"SEQN","INQ020","INQ012","INQ030","INQ060","INQ080","INQ090","INQ132","INQ140","INQ150","IND235","INDFMMPI","INDFMMPC","INQ244","IND247"
41475,2,1,1,2,2,2,2,1,2,5,1.75,2,2,1
41476,1,2,2,2,2,2,2,1,2,12,5,3,,
41477,2,2,1,2,2,2,2,1,2,4,1.29,1,2,1
41478,1,2,2,2,2,2,1,2,2,3,0.45,1,2,1
41479,1,2,2,2,2,2,2,2,2,7,1.69,2,,
41480,1,2,2,2,2,2,2,2,2,3,0.68,1,2,1
41481,1,2,2,2,2,2,2,2,2,7,1.64,2,2,1
41482,1,2,1,2,2,2,2,2,1,8,1.9,3,,
41483,2,2,1,2,1,2,2,2,1,5,1.23,1,1,
41484,1,2,2,1,2,1,2,2,2,2,0.36,1,2,1
41485,1,2,2,2,2,2,2,2,2,8,2.03,3,2,1
41486,1,1,1,2,1,2,2,2,2,6,1.54,2,1,
41487,1,2,2,2,2,2,2,2,2,9,5,3,,
41488,1,2,2,2,2,2,2,2,1,4,1.4,2,2,1
41489,1,2,2,2,2,2,2,1,2,7,2.45,3,,
41490,1,1,1,2,1,2,2,1,2,5,1.75,2,,
41491,7,2,2,2,2,2,2,2,2,77,,1,2,4
41492,2,2,1,2,2,2,2,1,2,3,1.05,1,1,
41493,1,2,1,2,2,2,2,2,2,5,1.71,2,2,1
41494,1,2,2,2,2,2,2,2,2,6,1.09,1,2,1
41495,1,2,2,2,2,2,2,1,1,10,5,3,,
41496,2,2,1,2,2,2,2,2,2,2,0.49,1,2,1
41497,1,2,2,2,2,2,2,2,2,11,4.89,3,,
41498,1,2,1,2,2,2,2,2,2,11,5,3,2,1
41499,1,2,2,2,2,2,2,2,2,4,0.74,1,2,1
41500,1,2,2,2,2,2,2,2,2,5,1.23,1,2,1
41501,1,2,1,2,2,2,2,1,2,7,4.11,3,,
41502,1,2,2,2,2,2,2,2,2,8,3.07,3,,
41503,,,,,,,,,,,,,,
41504,1,2,2,1,2,2,2,1,2,7,2.63,3,,
41505,1,1,2,2,2,2,2,2,2,7,1.21,1,2,1
41506,2,2,1,2,2,2,2,1,2,9,4.38,3,,
41507,1,1,2,2,2,2,2,1,2,7,1.27,1,,
41508,1,2,2,2,2,2,2,2,2,3,0.45,1,2,4
41509,1,1,2,2,2,2,2,2,2,5,1.16,1,2,1
41510,1,2,2,2,2,2,2,2,2,5,1.4,2,2,1
41511,1,2,2,2,2,2,2,2,2,11,3.98,3,,
41512,2,2,1,2,1,1,2,2,2,4,1.4,2,2,1
41513,2,2,2,2,2,1,2,1,2,4,0.63,1,1,
41514,2,2,1,2,1,2,2,2,2,7,4.04,3,,
41515,1,2,2,2,2,2,2,2,1,3,0.84,1,2,2
41516,2,2,1,2,1,2,2,2,1,5,1.69,2,2,1
41517,1,2,2,2,2,2,2,2,2,7,2.39,3,,
41518,1,2,2,2,2,2,2,2,2,11,5,3,,
41519,1,2,1,2,1,2,2,2,2,6,1.54,2,,
41520,1,2,2,2,2,2,2,2,2,7,1.07,1,,
41521,1,1,2,2,2,2,2,1,1,12,5,3,,
41522,1,2,2,2,2,2,2,1,2,7,2.57,3,1,
41523,1,2,2,2,2,2,2,2,1,7,1.98,3,,
41524,2,2,1,2,2,2,2,1,2,6,2.19,3,,
41525,1,2,2,2,2,2,2,2,2,7,2.39,3,,
41526,1,2,2,2,2,2,2,1,2,5,2.31,3,,
41527,1,1,2,2,2,2,2,2,2,3,0.7,1,1,
41528,7,7,7,7,7,7,7,7,7,,,,,
41529,1,2,2,2,2,2,2,1,2,8,2.32,3,,
41530,1,1,2,2,2,2,2,2,2,9,2,3,,
41531,1,2,2,2,2,2,2,2,2,7,1.69,2,2,1
41532,1,2,2,2,2,2,2,2,2,4,0.77,1,2,1
41533,1,2,2,2,2,2,2,2,2,10,2.78,3,,
41534,1,2,2,2,2,2,2,2,2,4,1.62,2,2,1
41535,1,2,2,2,2,2,2,2,2,7,1.27,1,2,1
41536,1,1,2,2,2,2,2,1,2,12,5,3,,
41537,1,1,2,2,2,2,2,2,1,5,1.16,1,2,1
41538,1,2,2,2,2,2,2,2,2,3,1.1,1,,
41539,1,2,2,2,2,2,2,2,2,7,3.58,3,,
