"SEQN","INQ020","INQ012","INQ030","INQ060","INQ080","INQ090","INQ132","INQ140","INQ150","IND235","INDFMMPI","INDFMMPC","INQ244","IND247"
62161,1,2,2,2,2,2,2,1,2,77,,3,,
62162,1,2,2,2,2,2,2,2,2,4,0.6,1,2,1
62163,1,2,1,2,1,2,2,1,2,12,5,3,,
62164,1,2,2,2,2,2,2,2,2,6,1.11,1,2,1
62165,2,1,2,2,2,2,2,2,2,3,0.5,1,2,1
62166,1,2,2,2,2,2,2,1,2,,,,,
62167,1,2,2,2,2,2,2,2,2,,,,,
62168,1,1,1,2,2,2,2,2,1,11,3.01,3,,
62169,2,2,1,2,2,1,2,2,2,3,0.38,1,2,1
62170,1,2,2,2,2,2,2,1,2,12,5,3,,
62171,1,2,2,2,2,2,2,1,2,8,2.04,3,,
62172,1,2,2,2,2,2,2,2,1,4,1.54,2,,
62173,1,2,2,2,2,2,2,2,2,99,,1,2,1
62174,2,2,1,1,2,2,2,1,2,10,4.28,3,,
62175,1,2,1,2,2,2,2,2,2,2,0.28,1,2,1
62176,1,2,2,2,2,2,2,1,2,99,,3,,
62177,1,2,2,2,2,2,2,2,2,,,,,
62178,2,2,1,2,2,2,2,2,2,3,1.1,1,1,
62179,1,2,2,2,2,2,2,1,2,12,5,3,,
62180,1,2,2,2,2,2,2,2,2,4,0.73,1,2,4
62181,1,2,2,2,2,2,2,2,2,3,0.46,1,2,1
62182,2,2,1,2,2,2,2,2,2,77,,7,7,
62183,1,2,2,2,2,2,2,2,2,11,3.38,3,,
62184,1,2,1,2,1,2,1,2,2,11,2.66,3,,
62185,1,2,2,2,2,2,2,2,2,,,,,
62186,1,2,2,2,2,2,2,2,2,1,0,1,2,1
62187,2,2,2,2,2,2,7,2,2,,,,,
62188,1,2,2,2,2,2,2,2,2,4,0.67,1,2,1
62189,1,2,2,2,2,2,2,2,2,9,2.6,3,,
62190,1,1,2,2,2,2,2,2,2,3,0.54,1,2,1
62191,1,2,1,1,1,2,2,1,2,3,1.02,1,2,1
62192,1,2,1,2,1,1,2,1,1,9,3.24,3,,
62193,1,1,2,2,2,2,2,2,1,4,0.67,1,2,1
62194,1,2,2,2,2,2,2,2,2,12,5,3,,
62195,1,2,2,2,2,2,2,2,2,6,2.75,3,2,1
62196,1,2,2,2,2,2,2,1,2,9,2.22,3,,
62197,1,1,2,2,2,2,2,2,1,10,2.9,3,,
62198,2,2,2,2,2,2,2,2,2,3,0.62,1,2,1
62199,1,1,2,2,2,2,2,1,2,11,5,3,,
62200,1,2,2,2,2,2,2,2,2,12,4,3,,
62201,1,2,2,2,2,2,2,1,2,8,2.15,3,1,
62202,1,2,2,2,2,2,2,2,2,7,1.36,2,,
62203,1,2,2,2,2,2,2,2,2,77,,3,1,
62204,1,1,2,2,2,2,2,2,2,12,5,3,,
62205,1,2,2,2,2,2,2,1,2,12,5,3,,
62206,1,1,2,2,2,2,2,2,2,11,2.52,3,,
62207,1,2,2,2,2,2,2,2,2,6,1.57,2,2,1
62208,1,2,2,2,2,2,2,2,2,7,1.38,2,2,1
62209,1,2,2,2,2,1,2,2,1,7,1.38,2,2,1
62210,1,2,2,2,2,2,2,1,2,12,5,3,,
62211,1,2,2,2,2,1,2,2,2,9,2.22,3,,
62212,1,1,2,2,2,2,2,2,2,77,,1,7,
62213,1,2,2,2,2,2,2,2,2,3,0.75,1,2,1
62214,1,2,2,2,2,2,2,2,2,4,0.64,1,2,4
62215,2,2,1,2,1,2,2,2,2,99,,9,9,
62216,1,2,2,2,2,2,2,1,2,12,5,3,,
62217,1,2,1,2,2,2,2,2,1,4,0.97,1,2,1
62218,1,2,2,2,2,2,2,2,1,7,1.94,3,,
62219,1,1,2,2,2,2,2,2,2,99,,9,2,1
62220,1,2,2,2,2,2,2,2,2,8,4.3,3,,
62221,1,2,2,2,2,2,2,2,2,11,3.38,3,,
62222,1,2,2,2,2,2,2,1,2,12,5,3,,
62223,7,7,7,7,7,7,7,7,2,,,,,
62224,1,1,2,2,2,2,2,2,2,8,2.42,3,,
62225,1,2,2,2,2,2,2,2,2,11,3.9,3,,
62226,2,2,1,2,2,2,2,1,2,6,1.98,3,,
62227,1,1,2,2,2,2,2,2,2,12,5,3,,
62228,1,2,2,2,2,2,2,1,2,77,,3,,
62229,1,2,2,2,2,2,2,1,2,6,1.57,2,2,3
62230,2,2,1,2,2,2,2,2,2,3,1.07,1,2,1
62231,1,2,2,2,2,2,2,1,2,12,4.59,3,,
62232,1,2,2,2,2,2,2,1,2,8,1.98,3,,
62233,1,2,1,2,2,2,2,1,1,99,,1,2,1
62234,1,1,2,2,2,2,2,2,2,12,4.89,3,,
62235,1,2,2,2,2,2,2,1,2,12,4.43,3,,
62236,1,2,2,2,2,2,2,1,2,12,5,3,,
62237,2,2,1,1,1,2,2,2,1,7,2.54,3,,
62238,1,1,2,2,2,2,2,2,2,9,2.22,3,2,1
62239,1,2,2,2,2,2,2,2,2,3,1.1,1,2,1
62240,1,2,1,2,2,2,2,2,2,7,1.67,2,,
62241,1,2,2,2,2,2,2,2,2,9,2.68,3,,
62242,1,2,2,2,2,2,2,1,1,7,2.38,3,,
62243,1,2,2,2,2,2,2,2,2,12,5,3,,
62244,1,2,2,2,2,2,2,1,2,9,2.68,3,,
62245,1,2,2,2,2,2,2,1,2,12,5,3,,
62246,1,2,1,2,2,2,2,2,2,99,,9,2,1
62247,1,2,2,2,2,2,2,2,2,8,1.98,3,2,5
62248,1,1,2,2,2,2,2,2,2,9,1.59,2,1,
62249,1,2,2,2,2,2,2,1,2,7,3.31,3,1,
62250,1,2,2,2,2,2,2,1,2,12,5,3,,
62251,1,2,2,2,2,2,2,1,2,99,,3,1,
62252,1,2,2,2,2,2,2,2,1,9,3.14,3,,
62253,2,2,2,2,2,2,2,1,2,9,3.24,3,,
62254,1,2,2,2,2,2,2,2,2,77,,3,2,1
62255,2,1,1,2,2,1,2,2,2,4,1.04,1,2,1
62256,2,2,1,1,2,2,2,2,2,6,1.71,2,1,
62257,,,,,,,,,,,,,,
62258,2,1,2,1,2,1,2,2,2,6,1.07,1,1,
62259,2,2,1,2,2,2,2,2,2,2,0.82,1,2,1
62260,1,2,2,2,2,2,2,1,2,12,5,3,,
62261,1,2,2,2,2,2,2,2,2,9,2.46,3,,
62262,1,2,2,2,2,2,2,2,2,5,0.89,1,2,1
62263,2,2,1,1,2,2,2,2,2,3,0.55,1,2,1
62264,2,2,1,2,1,2,2,1,2,5,1.63,2,,
62265,1,2,1,2,2,2,2,2,2,7,1.16,1,2,2
62266,2,2,1,2,2,2,2,2,2,5,2.15,3,2,1
62267,1,2,2,2,2,2,2,2,1,5,1.04,1,2,1
62268,1,2,2,2,2,2,2,2,2,99,,1,2,1
62269,2,2,1,2,2,1,1,2,1,5,0.72,1,2,1
62270,1,2,2,2,2,2,2,2,2,3,0.44,1,2,1
62271,2,2,2,2,2,2,1,2,1,77,,3,2,2
62272,1,2,1,1,1,1,2,2,2,5,0.62,1,2,1
62273,1,2,2,2,2,2,2,1,2,11,3.76,3,,
62274,2,2,2,2,2,2,1,2,1,3,0.55,1,2,1
62275,1,2,2,2,2,2,2,1,2,12,5,3,,
62276,2,1,2,2,2,2,2,2,2,12,5,3,,
62277,1,2,2,2,2,2,2,2,2,8,4.41,3,,
62278,1,2,1,2,1,2,2,1,2,7,2.62,3,,
62279,1,2,9,1,2,2,2,2,2,4,0.94,1,2,1
62280,1,2,2,1,2,2,2,2,2,4,1.31,2,2,77
62281,1,1,2,2,2,2,2,2,2,6,1.01,1,2,1
62282,1,1,2,1,2,1,2,1,2,4,1.22,1,1,
62283,1,2,2,2,2,2,2,1,2,99,,3,,
62284,1,1,1,2,2,2,2,2,2,7,1.89,3,,
62285,1,2,1,1,2,2,2,2,1,8,2.83,3,2,1
62286,7,2,2,2,2,2,2,2,2,,,,,
62287,2,2,1,2,1,2,2,1,2,7,2.45,3,,
62288,1,2,2,2,2,2,2,2,2,5,2.24,3,,
62289,2,1,1,2,1,2,2,2,2,3,1.29,1,1,
62290,2,1,2,2,2,2,1,2,2,77,,1,2,1
62291,1,2,2,2,1,2,2,2,2,11,5,3,,
62292,1,2,1,2,1,2,2,1,1,12,5,3,,
62293,2,2,1,1,2,2,2,2,2,3,1.29,1,2,1
62294,2,2,2,2,2,1,1,2,2,3,0.57,1,2,1
62295,2,2,1,2,2,2,2,2,2,2,0.79,1,2,2
62296,1,2,2,2,2,2,2,2,2,11,5,3,,
62297,1,2,2,2,2,2,2,1,1,8,2.51,3,,
62298,1,1,2,2,2,2,2,1,1,11,4.3,3,,
62299,1,1,2,2,2,2,2,2,2,99,,2,2,1
62300,1,2,2,2,2,2,2,2,2,4,0.88,1,,
62301,1,2,2,1,2,1,2,2,1,99,,1,2,1
62302,1,2,2,2,2,2,2,2,2,,,,,
62303,2,2,1,2,2,2,2,1,2,4,0.97,1,1,
62304,1,2,2,2,2,2,2,2,2,6,1.15,1,2,1
62305,1,2,2,2,2,2,2,2,2,9,2.37,3,,
62306,1,2,2,2,2,2,2,1,2,77,,3,1,
62307,2,2,1,2,2,1,2,2,2,4,1.27,1,2,1
62308,2,2,1,2,1,2,2,1,2,11,5,3,,
62309,1,2,2,2,2,2,2,2,2,3,0.31,1,2,1
62310,2,2,1,2,2,1,1,2,1,5,0.72,1,2,1
62311,1,2,2,1,1,2,2,7,2,99,,3,,
62312,1,2,1,2,2,2,1,1,2,9,2.22,3,1,
62313,1,2,2,2,2,2,2,2,2,4,0.69,1,2,1
62314,2,2,2,2,2,2,2,2,1,3,1.01,1,2,1
62315,2,2,1,2,1,2,2,2,2,99,,9,9,
62316,1,2,2,2,2,1,2,2,2,4,0.81,1,2,1
62317,1,1,2,2,2,2,2,2,2,99,,1,2,1
62318,2,2,2,2,2,2,1,2,1,3,0.46,1,2,1
62319,2,2,2,2,2,2,2,2,2,1,0.09,1,2,1
62320,1,2,1,1,2,2,2,1,2,8,3.26,3,,
62321,1,1,2,2,2,2,2,1,2,12,4.56,3,,
62322,1,2,2,2,2,2,2,2,1,4,0.41,1,2,1
62323,2,1,2,2,2,2,1,2,2,77,,1,2,1
62324,1,2,2,2,2,2,2,2,2,2,0.14,1,2,1
62325,1,2,2,2,2,2,2,2,2,2,0.41,1,2,1
62326,1,1,1,2,2,2,2,1,1,1,0.24,1,,
62327,1,2,2,2,2,2,2,2,1,4,0.67,1,2,1
62328,1,1,2,2,2,2,2,2,2,10,3.06,3,,
62329,1,2,2,2,2,2,2,2,2,3,0.53,1,2,1
62330,1,2,2,2,2,2,2,2,2,10,4.89,3,,
62331,1,2,2,2,1,2,2,1,1,11,3.49,3,,
62332,1,2,2,2,2,2,2,2,2,4,1.11,1,2,1
62333,1,2,2,2,2,2,2,2,2,,,,,
62334,2,2,1,2,2,1,2,2,1,5,0.94,1,2,2
62335,1,1,2,2,2,2,2,1,2,11,3.9,3,,
62336,1,2,2,2,2,2,2,2,2,3,0.75,1,,
62337,1,2,2,2,2,2,2,2,2,8,1.42,2,2,1
62338,1,2,2,2,2,2,1,2,2,4,0.58,1,2,1
62339,1,2,2,2,2,2,2,1,2,10,2.95,3,,
62340,1,2,2,2,2,2,2,1,2,5,1.04,1,1,
62341,1,2,2,2,2,2,2,2,2,8,2.46,3,,
62342,1,1,2,2,2,2,2,2,2,5,0.89,1,2,1
62343,1,2,1,2,2,1,2,2,1,4,0.69,1,2,1
62344,,,,,,,,,,,,,,
62345,1,1,2,2,2,2,2,2,2,12,5,3,,
62346,2,2,2,2,2,2,2,2,1,1,0.22,1,2,1
62347,1,1,1,2,2,2,1,2,2,3,1.15,1,2,2
62348,2,2,2,2,2,2,2,2,1,9,1.94,3,2,1
62349,1,2,2,2,2,2,2,2,2,5,1.63,2,2,1
62350,1,2,2,2,2,2,2,2,2,6,1.96,3,,
62351,1,2,2,2,2,2,2,2,2,6,1.15,1,2,1
62352,1,2,2,2,2,1,2,2,2,7,0.85,1,2,1
62353,2,2,1,2,1,2,2,1,2,8,3.17,3,,
62354,1,2,2,2,2,2,2,1,1,8,2.83,3,,
62355,1,2,2,2,2,2,2,1,2,8,2.15,3,2,3
62356,1,2,2,2,2,2,2,1,2,77,,3,1,
62357,1,2,2,2,2,2,2,1,1,12,5,3,,
62358,1,2,2,1,2,2,2,2,1,7,2.2,3,,
62359,1,2,2,2,2,2,2,2,2,8,1.42,2,2,1
62360,1,2,2,2,2,2,2,2,2,7,1.24,1,7,
62361,2,2,2,2,2,2,2,2,1,2,0.21,1,2,1
62362,1,2,2,2,2,2,2,2,2,6,1,1,2,1
62363,1,2,2,1,2,2,2,2,2,6,1.34,2,9,
62364,1,2,2,2,2,2,2,2,2,8,2.08,3,,
62365,1,2,2,2,2,2,2,2,2,10,4.89,3,,
62366,2,2,1,2,2,2,2,2,2,6,1.67,2,2,1
62367,1,2,2,2,2,2,2,2,2,12,3.49,3,,
62368,2,2,2,2,2,2,2,2,2,3,0.83,1,2,1
62369,1,2,2,2,2,2,2,2,2,7,1.38,2,2,1
62370,1,2,2,2,2,2,2,2,2,12,3.78,3,,
62371,1,2,2,2,2,2,2,2,2,10,4.89,3,,
62372,1,2,2,2,2,2,2,1,2,5,1.07,1,,
62373,1,1,2,1,2,2,2,2,2,2,0.31,1,2,1
62374,1,2,2,2,2,2,2,2,1,3,0.59,1,2,1
62375,1,2,2,2,2,2,1,2,1,4,0.78,1,2,1
62376,1,2,1,2,2,1,2,2,1,5,0.92,1,2,1
62377,2,2,1,2,2,2,2,2,2,3,1.24,1,2,1
62378,2,2,1,2,2,2,2,2,2,8,4.51,3,,
62379,1,2,1,1,2,2,2,2,2,10,3.22,3,,
62380,1,2,2,2,2,2,2,2,2,9,2.22,3,,
62381,1,2,1,2,1,1,2,2,2,2,0.74,1,2,1
62382,1,2,1,1,2,2,1,2,2,3,0.34,1,2,1
62383,1,1,2,2,2,2,2,2,2,8,4.41,3,,
62384,2,1,1,1,2,2,2,1,2,4,1.11,1,,
62385,1,2,2,2,2,2,2,2,1,7,1.52,2,2,2
62386,1,2,2,2,2,2,2,2,1,7,2.07,3,,
62387,1,2,2,2,2,2,2,2,2,3,1.1,1,2,1
62388,2,2,1,2,2,2,2,2,2,4,1.61,2,2,6
62389,1,2,2,2,2,2,2,1,2,12,4.26,3,,
62390,2,2,2,2,2,2,2,2,1,5,2.2,3,,
62391,1,2,2,2,2,2,2,1,2,12,5,3,,
62392,1,2,2,2,2,2,2,2,2,5,0.8,1,2,2
62393,1,2,2,2,2,2,2,2,2,3,0.55,1,2,1
62394,1,2,1,2,2,2,2,2,2,3,0.43,1,2,1
62395,1,2,2,2,2,2,2,2,2,8,2.15,3,,
62396,1,2,2,2,2,2,2,2,2,4,0.57,1,2,1
62397,1,2,1,2,2,2,2,2,2,99,,1,2,1
62398,1,1,2,2,2,2,2,2,2,99,,1,2,1
62399,1,1,2,2,2,2,2,2,2,5,1.63,2,2,4
62400,2,2,2,2,2,2,2,2,1,4,1.06,1,2,1
62401,1,1,1,2,1,2,2,2,2,7,1.61,2,,
62402,1,1,1,2,2,2,2,2,2,99,,1,2,1
62403,7,7,7,7,7,7,7,7,7,,,,,
