"SEQN","OCD150","OCQ180","OCQ210","OCD230","OCD240","OCQ260","OCD270","OCQ290G","OCQ290Q","OCQ295","OCQ340","OCQ350","OCQ360","OCQ380","OCD390G","OCD390","OCD395","OCQ420","OCQ430","OCQ440","OCQ450","OCD470G","OCD470","OCD480"
21005,3,,,,,,,,,,,,,,1,27,24,2,,,,,,
21006,4,,,,,,,,,,,,,2,4,,,,,,,,,
21008,4,,,,,,,,,,,,,2,1,24,36,2,,,,4,,
21009,1,40,,40,27,3,48,2,,2,1,1,4,,1,32,204,,1,8,2,,,
21010,3,,,,,,,,,,,,,,1,14,180,1,2,,,4,,
21012,4,,,,,,,,,,,,,3,1,9,360,1,1,12,2,,,
21015,4,,,,,,,,,,,,,3,1,9,480,2,,,,,,
21017,1,40,,28,34,1,3,2,,2,2,,,,2,,,,,,,,,
21018,4,,,,,,,,,,,,,4,1,11,120,2,,,,,,
21019,4,,,,,,,,,,,,,1,4,,,,,,,,,
21020,1,40,,10,34,1,12,2,,1,2,,,,2,,,,,,,2,,
21021,4,,,,,,,,,,,,,3,4,,,,,,,,,
21023,4,,,,,,,,,,,,,1,1,11,36,2,,,,,,
21025,4,,,,,,,,,,,,,2,4,,,,,,,,,
21026,4,,,,,,,,,,,,,2,4,,,,,,,,,
21029,1,40,,41,7,1,120,2,,2,2,,,,2,,,,,,,,,
21030,4,,,,,,,,,,,,,1,1,11,6,2,,,,4,,
21031,4,,,,,,,,,,,,,1,1,10,48,2,,,,,,
21032,1,10,2,36,21,1,7,2,,2,2,,,,2,,,,,,,,,
21033,4,,,,,,,,,,,,,1,1,11,120,2,,,,,,
21034,1,40,,4,30,1,60,1,8,2,2,,,,2,,,,,,,,,
21036,4,,,,,,,,,,,,,3,1,14,120,2,,,,,,
21037,4,,,,,,,,,,,,,3,1,9,300,2,,,,,,
21039,4,,,,,,,,,,,,,3,1,12,36,2,,,,,,
21043,3,,,,,,,,,,,,,,1,18,120,2,,,,,,
21044,4,,,,,,,,,,,,,1,1,11,24,2,,,,,,
21048,1,20,2,27,21,1,4,2,,2,2,,,,1,8,36,,,,,,,
21049,4,,,,,,,,,,,,,2,4,,,,,,,,,
21050,4,,,,,,,,,,,,,3,1,31,240,1,1,4,1,,,
21051,1,40,,13,1,1,360,2,,2,1,2,,,2,,,,,,,,,
21052,1,15,2,40,21,99,72,2,,2,2,,,,1,26,120,,,,,,,
21054,2,,2,37,16,1,84,2,,2,2,,,,1,13,180,,,,,2,,
21055,1,40,,24,11,1,36,2,,2,2,,,,2,,,,,,,,,
21056,1,40,,15,3,1,96,2,,2,2,,,,2,,,,,,,,,
21057,1,40,,4,30,1,24,2,,2,1,1,1,,2,,,,,,,,,
