"SEQN","FSDHH","FSDAD","FSD151","FSQ165","FSQ012","FSD230","FSD162","FSQ760","FSQ653","FSD660ZC","FSD675","FSD680","FSD670ZC","FSQ690","FSQ695","FSD652ZW","FSD672ZW","FSD652CW","FSD660ZW"
109263,1,1,2,2,,,2,,2,,,,,2,,,,,
109264,1,1,2,1,1,1,1,1,,,,,,,,,,,
109265,1,1,2,2,,,1,1,1,1,1,1,35,1,99,,,,
109266,1,1,2,2,,,2,,,,,,,,,,,,
109267,1,1,2,2,,,2,,,,,,,,,,,,
109268,1,1,2,2,,,2,,,,,,,,,,,,
109269,2,2,2,2,,,9,,1,2,1,2,12,1,2,,,,
109270,2,2,2,2,,,2,,,,,,,,,,,,
109271,3,3,1,1,1,1,2,,,,,,,,,,,,
109272,2,2,2,1,1,1,1,1,1,1,1,,4,1,4,,,,
109273,4,4,2,1,1,1,1,2,,,,,,,,,,,
109274,3,3,1,2,,,2,,,,,,,,,,,,
109275,1,1,2,2,,,2,,,,,,,,,,,,
109276,3,3,2,1,1,1,1,1,1,1,1,,1,2,,,,,
109277,2,2,2,2,,,2,,,,,,,,,,,,
109278,3,3,2,2,,,1,1,,,,,,,,,,,
109279,3,3,2,1,2,,2,,,,,,,,,,,,
109280,4,4,2,2,,,1,1,1,1,1,1,24,1,2,,,,
109281,1,1,2,1,1,1,1,1,1,1,1,,1,1,2,,,,
109282,1,1,2,2,,,2,,,,,,,,,,,,
109283,3,3,1,1,1,1,2,,,,,,,,,,,,
109284,,,2,2,,,2,,,,,,,,,,,,
109285,1,1,1,1,1,2,2,,,,,,,,,,,,
109286,2,2,2,2,,,1,1,,,,,,,,,,,
109287,3,3,1,1,1,1,2,,,,,,,,,,,,
109288,2,2,1,1,1,1,1,2,1,2,1,1,24,2,,,,,
109289,1,1,1,1,1,1,1,1,1,1,1,1,20,1,4,,,,
109290,1,1,2,2,,,2,,,,,,,,,,,,
109291,1,1,2,2,,,2,,,,,,,,,,,,
109292,1,1,2,2,,,2,,,,,,,,,,,,
109293,1,1,1,1,1,1,2,,,,,,,,,,,,
109294,1,1,2,2,,,2,,2,,,,,2,,,,,
109295,1,1,2,2,,,2,,,,,,,,,,,,
109296,4,4,2,1,1,1,2,,,,,,,,,,,,
109297,1,1,2,2,,,2,,,,,,,,,,,,
109298,1,1,2,1,2,,2,,,,,,,,,,,,
109299,1,1,2,2,,,2,,2,,,,,2,,,,,
109300,1,1,2,2,,,2,,,,,,,,,,,,
109301,3,3,2,1,1,1,2,,,,,,,,,,,,
109302,4,3,2,1,1,1,2,,,,,,,,,,,,
109303,1,1,2,2,,,2,,,,,,,,,,,,
109304,1,1,2,2,,,2,,,,,,,,,,,,
109305,1,1,2,2,,,2,,,,,,,,,,,,
109306,1,1,2,2,,,2,,1,2,1,2,6,2,,,,,
109307,1,1,2,2,,,2,,,,,,,,,,,,
109308,1,1,2,1,1,1,2,,2,,,,,2,,,,,
109309,2,2,2,2,,,1,2,1,2,1,1,48,1,3,,,,
109310,1,1,2,2,,,2,,,,,,,,,,,,
109311,3,4,2,1,2,,2,,,,,,,,,,,,
109312,1,1,2,2,,,2,,,,,,,,,,,,
109313,1,1,2,2,,,2,,,,,,,,,,,,
109314,2,1,2,1,1,2,1,1,1,1,1,,8,1,9,,,,
109315,3,3,2,1,2,,2,,,,,,,,,,,,
109316,1,1,2,2,,,2,,,,,,,,,,,,
109317,,,,,,,,,,,,,,,,,,,
109318,1,1,2,1,1,1,1,2,1,2,1,1,60,1,9,,,,
109319,1,1,2,1,2,,2,,,,,,,,,,,,
109320,1,1,2,1,1,1,2,,,,,,,,,,,,
109321,1,1,2,1,2,,2,,,,,,,,,,,,
109322,3,3,2,2,,,2,,,,,,,,,,,,
109323,1,1,2,2,,,1,1,,,,,,,,,,,
109324,4,4,2,1,1,2,2,,,,,,,,,,,,
109325,1,1,2,2,,,2,,,,,,,,,,,,
109326,1,1,2,2,,,2,,,,,,,,,,,,
109327,1,1,2,2,,,2,,,,,,,,,,,,
109328,3,3,2,1,2,,1,1,1,1,1,1,24,1,1,,,,
109329,3,3,2,1,2,,1,1,1,1,1,,8,2,,,,,
109330,1,1,2,2,,,2,,,,,,,,,,,,
109331,4,4,1,1,1,1,1,2,,,,,,,,,,,
109332,1,1,2,1,1,1,2,,,,,,,,,,,,
109333,1,1,2,2,,,2,,,,,,,,,,,,
109334,1,1,2,2,,,2,,,,,,,,,,,,
109335,1,1,2,1,1,1,2,,,,,,,,,,,,
109336,1,1,2,2,,,2,,,,,,,,,,,,
109337,1,1,2,2,,,2,,,,,,,,,,,,
109338,1,1,2,2,,,2,,,,,,,,,,,,
109339,1,1,2,2,,,2,,,,,,,,,,,,
109340,2,2,2,2,,,2,,,,,,,,,,,,
109341,1,1,2,1,2,,2,,2,,,,,2,,,,,
109342,3,3,1,1,2,,2,,,,,,,,,,,,
109343,1,1,2,2,,,2,,,,,,,,,,,,
109344,4,4,1,1,1,1,2,,2,,,,,2,,,,,
109345,2,2,2,1,1,1,1,1,1,1,1,,5,1,4,,,,
109346,2,2,1,1,1,1,2,,,,,,,,,,,,
109347,3,3,2,1,1,1,1,1,1,1,1,1,24,1,1,,,,
109348,1,1,2,1,2,,2,,,,,,,,,,,,
109349,,,,,,,,,,,,,,,,,,,
109350,3,3,1,1,1,1,2,,,,,,,,,,,,
109351,1,1,2,1,1,1,2,,,,,,,,,,,,
109352,1,1,2,2,,,2,,,,,,,,,,,,
109353,,,,,,,,,,,,,,,,,,,
109354,4,4,1,2,,,2,,,,,,,,,,,,
109355,,,,,,,,,1,2,1,2,12,1,7,,,,
109356,,,,,,,,,2,,,,,2,,,,,
