"SEQN","INDFMMPI","INDFMMPC"
109263,3.26,3
109264,1.29,1
109265,2.04,3
109266,5,3
109267,5,3
109268,1.19,1
109269,1.03,1
109270,1.69,2
109271,1.2,1
109272,0.3,1
109273,0.53,1
109274,1.2,1
109275,3.74,3
109276,0,1
109277,,2
109278,,9
109279,1.02,1
109280,0.73,1
109281,0.77,1
109282,3.18,3
109283,0.96,1
109284,,7
109285,2.39,3
109286,1.22,1
109287,0.6,1
109288,,1
109289,0.8,1
109290,4.8,3
109291,,
109292,1.81,2
109293,0.05,1
109294,5,3
109295,4.37,3
109296,1.41,2
109297,,3
109298,1.74,2
109299,5,3
109300,2.89,3
109301,0.35,1
109302,1.39,2
109303,1.03,1
109304,2.8,3
109305,5,3
109306,1.67,2
109307,,3
109308,1.91,3
109309,,1
109310,5,3
109311,2.81,3
109312,4.89,3
109313,5,3
109314,2.33,3
109315,1.19,1
109316,0.73,1
109317,,
109318,0,1
109319,2.22,3
109320,,9
109321,,1
109322,2.87,3
109323,,2
109324,0.94,1
109325,5,3
109326,5,3
109327,3.5,3
109328,2.29,3
109329,0.68,1
109330,2.13,3
109331,0.6,1
109332,,
109333,5,3
109334,0.96,1
109335,0,1
109336,4.01,3
109337,1.18,1
109338,,3
109339,1.35,2
109340,0.89,1
109341,3.82,3
109342,1.19,1
109343,4.21,3
109344,0.33,1
109345,0.35,1
109346,0.55,1
109347,0.73,1
109348,5,3
109349,,
109350,1.15,1
109351,,1
109352,4.17,3
109353,,
109354,,
109355,,
109356,,
109357,3.73,3
109358,,9
109359,1.44,2
109360,,2
109361,0.96,1
109362,0.03,1
109363,,3
109364,1.33,2
109365,0.99,1
109366,5,3
109367,,
109368,1.63,2
109369,2.26,3
109370,,
109371,4.74,3
109372,1.07,1
109373,1.71,2
109374,0.92,1
109375,,3
109376,3.46,3
109377,1.56,2
109378,5,3
109379,1.41,2
109380,1.56,2
109381,0.98,1
109382,1.39,2
109383,2.44,3
109384,1.11,1
109385,0.38,1
109386,0.5,1
109387,1.67,2
109388,2.39,3
109389,5,3
109390,2.2,3
109391,0.92,1
109392,,1
109393,0.89,1
109394,0.6,1
109395,4.11,3
109396,1.84,2
109397,2.22,3
109398,,9
109399,0.4,1
109400,5,3
109401,1.86,3
109402,,9
109403,5,3
109404,1.19,1
109405,0.73,1
109406,0.82,1
109407,4.97,3
109408,1.37,2
109409,0.52,1
109410,4.12,3
109411,5,3
109412,,
109413,,
109414,0.77,1
109415,2.96,3
109416,1.48,2
109417,0.96,1
109418,0.98,1
109419,4.11,3
109420,2.44,3
109421,,2
109422,1.07,1
109423,,1
109424,3.35,3
109425,2.78,3
109426,4.62,3
109427,4.19,3
109428,1.33,2
109429,1.07,1
109430,1.84,2
109431,1.66,2
109432,3.14,3
109433,1.13,1
109434,0.2,1
109435,1.46,2
109436,4.32,3
109437,0.72,1
109438,2.89,3
109439,1.77,2
109440,,3
109441,1,1
109442,2.75,3
109443,1.96,3
109444,1.07,1
109445,,
109446,1.31,2
109447,0.52,1
109448,5,3
109449,2.2,3
109450,0.62,1
109451,3.34,3
109452,,
109453,0.13,1
109454,0.38,1
109455,5,3
109456,1.46,2
109457,5,3
109458,0.95,1
109459,1.45,2
109460,,
109461,1.15,1
109462,5,3
109463,2.73,3
109464,0.84,1
109465,0.28,1
109466,,1
109467,5,3
109468,0.82,1
109469,0.95,1
109470,0.98,1
109471,2.08,3
109472,3.28,3
109473,,2
109474,1.85,2
109475,2.08,3
109476,0.82,1
109477,3.26,3
109478,4.11,3
109479,,1
109480,1.33,2
109481,2.39,3
109482,5,3
109483,,9
109484,0.28,1
109485,2.15,3
109486,5,3
109487,1.69,2
109488,0.68,1
109489,,
109490,,
109491,,1
109492,,1
109493,2.13,3
109494,2.17,3
109495,4.63,3
109496,5,3
109497,1.06,1
109498,5,3
109499,5,3
109500,0.85,1
109501,5,3
109502,,2
109503,5,3
109504,2.13,3
109505,2.3,3
109506,2.78,3
109507,0.33,1
109508,5,3
109509,,
109510,,1
109511,0.98,1
109512,5,3
109513,4.97,3
109514,0.63,1
109515,1.39,2
109516,0.47,1
109517,1.22,1
109518,5,3
109519,1.54,2
109520,0.88,1
109521,0.03,1
109522,5,3
109523,1.78,2
109524,,
109525,,
109526,,
109527,1.92,3
109528,1.34,2
109529,1.84,2
109530,1.28,1
109531,,
109532,3.94,3
109533,,
109534,0.41,1
109535,0,1
109536,5,3
109537,,
109538,0.95,1
109539,1.32,2
109540,1.05,1
109541,1.96,3
109542,0.71,1
109543,3.9,3
109544,1.14,1
109545,,1
109546,0,1
109547,1.22,1
109548,1.66,2
109549,,3
109550,2.22,3
109551,,1
109552,2.79,3
109553,0.29,1
109554,0.93,1
109555,0,1
109556,3.46,3
109557,1.12,1
109558,4.18,3
109559,1.55,2
109560,,
109561,5,3
109562,2.37,3
109563,3.65,3
109564,0,1
109565,0.91,1
109566,0.57,1
109567,5,3
109568,1.81,2
109569,1.73,2
109570,3.28,3
109571,0.8,1
109572,1.18,1
109573,0.11,1
109574,4.11,3
109575,3.21,3
109576,1.26,1
109577,,9
109578,,
109579,1.41,2
109580,,3
109581,1.14,1
109582,,3
109583,,
109584,0.46,1
109585,1.63,2
109586,2.78,3
109587,5,3
109588,3.65,3
109589,2.66,3
109590,,9
109591,0.47,1
109592,,
109593,0.82,1
109594,1.26,1
109595,1.67,2
109596,1.28,1
109597,3.31,3
109598,3.46,3
109599,5,3
109600,5,3
109601,,
109602,,
109603,5,3
109604,5,3
109605,0.51,1
109606,5,3
109607,1.6,2
109608,5,3
109609,,9
109610,,
109611,0.05,1
109612,,
109613,0.9,1
109614,,3
109615,5,3
109616,4.7,3
109617,,9
109618,5,3
109619,1.06,1
109620,,2
109621,5,3
109622,3.44,3
109623,5,3
109624,1.22,1
109625,1.43,2
109626,1.65,2
109627,0.63,1
109628,0.67,1
109629,,2
109630,1.48,2
109631,3.52,3
109632,,2
109633,3.88,3
109634,0.87,1
109635,,9
109636,0.61,1
109637,2.22,3
109638,2.6,3
109639,,
109640,4.37,3
109641,2.4,3
109642,0.4,1
109643,1.46,2
109644,0.75,1
109645,0.68,1
109646,,2
109647,0.87,1
109648,0.8,1
109649,4.47,3
109650,2.31,3
109651,0.84,1
109652,0.84,1
109653,3.36,3
109654,,3
109655,,9
109656,1.82,2
109657,5,3
109658,1.2,1
109659,1.09,1
109660,1.86,3
109661,3.55,3
109662,,9
109663,5,3
109664,1.95,3
109665,2.84,3
109666,0.86,1
109667,2.13,3
109668,0.94,1
109669,0.93,1
109670,0.75,1
109671,3.82,3
109672,5,3
109673,,9
109674,0.53,1
109675,5,3
109676,2.79,3
109677,4.59,3
109678,0.8,1
109679,1.41,2
109680,4.5,3
109681,,
109682,1.18,1
109683,0.73,1
109684,0,1
109685,2.2,3
109686,0.44,1
109687,2.57,3
109688,5,3
109689,0.9,1
109690,2.08,3
109691,0.9,1
109692,2.89,3
109693,0.73,1
109694,5,3
109695,2.45,3
109696,,
109697,0.82,1
109698,,2
109699,0.51,1
109700,3.06,3
109701,5,3
109702,4.27,3
109703,3.98,3
109704,3.55,3
109705,0.74,1
109706,0.46,1
109707,0.68,1
109708,0.49,1
109709,5,3
109710,1.6,2
109711,1.18,1
109712,,
109713,2.25,3
109714,5,3
109715,0,1
109716,0.59,1
109717,0.8,1
109718,2.4,3
109719,4.62,3
109720,,1
109721,,9
109722,,1
109723,,3
109724,,1
109725,,1
109726,1.66,2
109727,,3
109728,0.89,1
109729,2.32,3
109730,0.21,1
109731,0.41,1
109732,5,3
109733,2.78,3
109734,1.85,2
109735,1.46,2
109736,,1
109737,1.94,3
109738,,
109739,1.68,2
109740,,9
109741,0.57,1
109742,5,3
109743,,3
109744,1.17,1
109745,1.13,1
109746,1.86,3
109747,1.9,3
109748,1.46,2
109749,,7
109750,1.67,2
109751,5,3
109752,1.24,1
109753,0.99,1
109754,0.83,1
109755,1.19,1
109756,,
109757,3.53,3
109758,,
109759,5,3
109760,3.69,3
109761,3.21,3
109762,5,3
109763,0.88,1
109764,2.22,3
109765,1.02,1
109766,0.46,1
109767,,
109768,5,3
109769,1.13,1
109770,5,3
109771,5,3
109772,0,1
109773,1.49,2
109774,1.76,2
109775,,1
109776,1.08,1
109777,,2
109778,5,3
109779,0.79,1
109780,1.08,1
109781,1.22,1
109782,2.22,3
109783,0.74,1
109784,3.73,3
109785,,
109786,1.15,1
109787,1.22,1
109788,2.19,3
109789,5,3
109790,2.2,3
109791,2,3
109792,3.98,3
109793,4.8,3
109794,2.44,3
109795,4.77,3
109796,0.28,1
109797,0.13,1
109798,0.89,1
109799,0.45,1
109800,3.98,3
109801,,1
109802,0.98,1
109803,0.83,1
109804,,1
109805,2.92,3
109806,1.63,2
109807,5,3
109808,4.17,3
109809,5,3
109810,3.82,3
109811,,3
109812,5,3
109813,1.99,3
109814,0.25,1
109815,3.87,3
109816,2.39,3
109817,5,3
109818,0.98,1
109819,0.51,1
109820,0.84,1
109821,2.31,3
109822,4.27,3
109823,5,3
109824,,9
109825,0.41,1
109826,,
109827,,
109828,5,3
109829,1.26,1
109830,0.75,1
109831,3.64,3
109832,0.5,1
109833,2.81,3
109834,0.73,1
109835,,
109836,0.4,1
109837,4.58,3
109838,5,3
109839,1.13,1
109840,0.28,1
109841,1.42,2
109842,0.99,1
109843,1.91,3
109844,3.27,3
109845,1.99,3
109846,,
109847,0.59,1
109848,2.13,3
109849,1.42,2
109850,5,3
109851,1.07,1
109852,,
109853,1.69,2
109854,,
109855,0.57,1
109856,1.49,2
109857,2.12,3
109858,2.44,3
109859,0,1
109860,2.94,3
109861,0.61,1
109862,,
109863,1.64,2
109864,5,3
109865,0.72,1
109866,5,3
